occ1,hisco,lang,code1,code2,code3,code4,code5
Male chainsmith in Cheshire,83190,en,1310.0,,,,
Male labourer soap works in London (Parts Of Middlesex,99900,en,1914.0,,,,
Male assistant hair drawer in Lancashire,99999,en,1918.0,,,,
Male jailer in London,58110,en,727.0,,,,
Male master national school in Denbighshire,13110,en,,,,,
Female cotton factory slatter in Lancashire,75190,en,1019.0,,,,
Female milk carrier daughter in London (Parts Of Middlesex,43400,en,,,,,
Female ironmongers packer wife in London (Parts Of Middlesex,55990,en,,,,,
Male messageboy in Northumberland,99999,en,1918.0,,,,
Female house proprietor in London,21020,en,,,,,
Female pauper ag labr in Yorkshire West Riding,62110,en,777.0,,,,
Female agricultural labourer in Kent (Extra London),62100,en,775.0,,,,
Male at postboy office csm in Lancashire,39300,en,595.0,,,,
Male apprentice meat salesman in Lancashire,99600,en,,,,,
Male master saddler in Devon,81290,en,1282.0,,,,
Male retired surveyor in Durham,2130,en,32.0,,,,
Male taxidermist in Cheshire,99999,en,1918.0,,,,
Male farmer out of a farm in Oxfordshire,61190,en,,,,,
Male apprentice commission agent in Cheshire,43190,en,,,,,
Male gamekeeper domestic domestic servant in Somerset,62300,en,787.0,,,,
"Male master builder m boys in London (Parts Of Middlesex,",93010,en,,,,,
Male scales maker scale in Herefordshire,84200,en,1379.0,,,,
Female bleacher cloths wife in Lancashire,55990,en,,,,,
Male harness maker in London,81290,en,1282.0,,,,
Male schoolmaster and teacher of music in Bedfordshire,13110,en,,,,,
Male farmer of acres in Northumberland,61110,en,764.0,,,,
Male mason and inn keeper in Pembrokeshire,93110,en,,,,,
Male general labourer in Essex,96210,en,,,,,
Male overlooker of steamers in Lancashire,75010,en,,,,,
Male maturers maker in Suffolk,99999,en,1918.0,,,,
Male boy victualler from emp man in Bedfordshire,57110,en,,,,,
Male railway yardman in Glamorganshire,98200,en,1879.0,,,,
Male barhouse apprentice in Cheshire,99990,en,,,,,
Male farmer rel officer reg of b d in Carnarvonshire,61190,en,,,,,
Male fisherman son in Yorkshire North Riding,99999,en,1918.0,,,,
Male retired from business in Hampshire,99999,en,1918.0,,,,
Male clergyman schoolmaster in Somerset,14110,en,,,,,
Female late bonnet maker in London (Parts Of Middlesex,79200,en,1198.0,,,,
Male farmer acres and in Cornwall,61110,en,764.0,,,,
"Male clerk to bank in London (Parts Of Middlesex,",32010,en,,,,,
Female servant in Essex,55900,en,,,,,
Male apprentice iron moulder in Lancashire,83110,en,1306.0,,,,
Male general post office sorter in London,38110,en,,,,,
Male rivet carrier in boiler yard in Staffordshire,83190,en,1310.0,,,,
Female apprentice cigar making tobacconist in London (Parts Of Middlesex,99600,en,,,,,
Female retired butcher in Leicestershire,99800,en,,,,,
Male marone enfmark in Kent,99999,en,1918.0,,,,
Male grocer carrier in Kent,45120,en,648.0,,,,
Male maartist in London (Parts Of Middlesex,16100,en,351.0,,,,
Male retired colo sergt royal marines in Cornwall,1210,en,10.0,,,,
Female common carrier in Worcestershire,98520,en,1896.0,,,,
Male schoolmaster in Yorkshire East Riding,13110,en,,,,,
Female retired wine dealer in Lancashire,45190,en,653.0,,,,
Female interest on investments in Dorset,99999,en,1918.0,,,,
Male boy blacksmith in Buckinghamshire,83120,en,1307.0,,,,
Male edge tool maker local m proctor in Somerset,84200,en,1379.0,,,,
Male traveller in Norfolk,43190,en,,,,,
Male agent in Yorkshire West Riding,32090,en,,,,,
Male warehouse man in Yorkshire West Riding,39910,en,,,,,
Male merchant in Cardiganshire,41190,en,,,,,
Male cotton power loom in Lancashire,75120,en,1011.0,,,,
Male innkeeper commercial in Yorkshire West Riding,57110,en,,,,,
Unknown none in Kent,99999,en,1918.0,,,,
Male boy agricultural labourer in Cornwall,62110,en,777.0,,,,
Male apprentice coachmaker painter in Lincolnshire,84230,en,1383.0,,,,
Male watch maker in Lancashire,84140,en,1368.0,,,,
Female occupiers daughter in Pembrokeshire,99999,en,1918.0,,,,
Male labourer ag farm in Kent (Extra London),62100,en,775.0,,,,
Male porter to grocer in Cheshire,97110,en,,,,,
Male engine driver in Berkshire,98310,en,,,,,
Male watch maker son in London (Parts Of Middlesex,85600,en,1453.0,,,,
Male pupil or scholar in Kent (Extra London),99999,en,1918.0,,,,
Male boy stationer employing girls in London (Parts Of Middlesex,41160,en,,,,,
Male apprentice builder employing man in Devon,93010,en,,,,,
Male apprentice brush maker in Lancashire,85990,en,1465.0,,,,
Male landlord in Wiltshire,21020,en,,,,,
Male perpetual curate of easton in wells in Somerset,14110,en,,,,,
Male delivery porter in Northamptonshire,97110,en,,,,,
Female scabbler in Oxfordshire,95990,en,1796.0,,,,
Male warhouseman cotton miller in Lancashire,39910,en,,,,,
Male inkeeper farms acres in Lincolnshire,53200,en,676.0,,,,
Female clock maker wife in Denbighshire,55990,en,,,,,
Female publican keeping a tavern in Carnarvonshire,57110,en,,,,,
Male journeyman baker in Oxfordshire,77210,en,,,,,
Male umbrella crack maker in Gloucestershire,85990,en,1465.0,,,,
Male clerk office of sewers london muni in Hertfordshire,39100,en,585.0,,,,
Male kennelman in Berkshire,99999,en,1918.0,,,,
Male engine driver to builder in London (Parts Of Middlesex,98310,en,,,,,
Female teacher national school in Norfolk,13110,en,,,,,
Male employd at home son in Monmouthshire,99999,en,1918.0,,,,
Male servant on farm in Carnarvonshire,62110,en,777.0,,,,
Male coal mercht and sheriff of southampton in Hampshire,41200,en,,,,,
Male cool seller in Norfolk,45190,en,653.0,,,,
Female varnishers in Staffordshire,99999,en,1918.0,,,,
Female machinist clock work in Warwickshire,84190,en,1378.0,,,,
Male ironmonger wheelwright in Yorkshire West Riding,41190,en,,,,,
Male apprentice carpenter in Brecknockshire,81210,en,1272.0,,,,
Male basket work in Warwickshire,82390,en,,,,,
Male copper refiner in Lancashire,73400,en,961.0,,,,
Female boy shop in London,45110,en,,,,,
Male flock grinder wife in Gloucestershire,55990,en,,,,,
Male nautical assessor home department csc in Kent (Extra London),310,en,,,,,
Male retired farm bailiff in Denbighshire,62010,en,,,,,
Unknown gas hot water engineer in London,87190,en,1483.0,,,,
Male oilman shopkeeper in Middlesex,45110,en,,,,,
Male farmer of acres employing labourer boys in Lincolnshire,61110,en,764.0,,,,
Male foreman on farms in Northamptonshire,62010,en,,,,,
Male apprentice to seedsman in Lancashire,45190,en,653.0,,,,
Female general servant of workhouse munic in Oxfordshire,55900,en,,,,,
Female pedlar in Lancashire,43200,en,631.0,,,,
Female certified sup school mistress in Kent (Extra London),13100,en,283.0,,,,
Male mechanic beer seller agricl iron works in Lancashire,84100,en,1360.0,,,,
Male apprentice brick maker in Glamorganshire,93590,en,,,,,
Male apprentice turner iron works in Gloucestershire,82110,en,,,,,
Female sub postmistress grocer in Nottinghamshire,38110,en,,,,,
Male drayman in Kent (Extra London),98500,en,1895.0,,,,
Female cottage property in Kent (Extra London),99999,en,1918.0,,,,
Male quarry man in Glamorganshire,71200,en,862.0,,,,
Male frierman seaman in Lancashire,98110,en,,,,,
Male works at paper miller in Norfolk,78100,en,1173.0,,,,
Male house proprietor in Cheshire,99999,en,1918.0,,,,
Female domestic servant in London,95110,en,,,,,
Male schoolmaster of workhouse in Wiltshire,13110,en,,,,,
Male farmer of acres employing man boys in Pembrokeshire,61110,en,764.0,,,,
Male as waggoner in Lincolnshire,98520,en,1896.0,,,,
Male master works inspector in Lancashire,21110,en,457.0,,,,
Male hawker in Worcestershire,45190,en,653.0,,,,
Male farm servant in Cheshire,62100,en,775.0,,,,
Female music master in Staffordshire,17210,en,,,,,
Male messenger on the ldp office in London,97110,en,,,,,
Male stamper of ruled wared in Warwickshire,99999,en,1918.0,,,,
Male labourer at cream factory in Shropshire,78290,en,1185.0,,,,
Male road surveyor in Gloucestershire,2130,en,32.0,,,,
Male secretary at dyeworks in Yorkshire West Riding,32010,en,,,,,
Male printing machine maker em in Nottinghamshire,84400,en,1394.0,,,,
Male worker coal in Lancashire,71110,en,853.0,,,,
Male brewer manufacturer in Wiltshire,77310,en,1118.0,,,,
Female unemployed domestic servant in Lancashire,99700,en,,,,,
Male coachmaker trimmer in Middlesex,84230,en,1383.0,,,,
Male coachman dom servant in Gloucestershire,55800,en,,,,,
Male unemployed broker in London (Parts Of Middlesex,99700,en,,,,,
Male apprentice boot maker in Lancashire,81160,en,,,,,
Male potter and earthenware manufacturer in Durham,86100,en,1467.0,,,,
Female black polisher in Warwickshire,95990,en,1796.0,,,,
Unknown joiner in London (Parts Of Middlesex,81100,en,1266.0,,,,
Female parish road labourer man wife in Norfolk,55990,en,,,,,
Female shop man wife in Merionethshire,55990,en,,,,,
Female evangelists wife in Cornwall,55990,en,,,,,
Male retired gamekeeper in Gloucestershire,58140,en,730.0,,,,
Male ales porter merchant in Cheshire,41200,en,,,,,
Male collector of rates and taxes in Essex,32010,en,,,,,
Male agricultural labourer agricultal indoor in Lancashire,62100,en,775.0,,,,
Female farm bailiff daughter in Monmouthshire,99999,en,1918.0,,,,
Female housemaid in Buckinghamshire,95110,en,,,,,
Male farm servant in Cardiganshire,62110,en,777.0,,,,
Male retired land agent in Yorkshire West Riding,32090,en,,,,,
Male no in London (Parts Of Middlesex,99999,en,1918.0,,,,
Female apprentice at swan edgars skirt in London,79420,en,1211.0,,,,
Male employer joiner builder of labour in Lancashire,81100,en,1266.0,,,,
Male pensioner chilsey in Dorset,99999,en,1918.0,,,,
Male scholar smith in Warwickshire,99999,en,1918.0,,,,
Female retired living in means in Somerset,99800,en,,,,,
Male late haullier out of work in Glamorganshire,96210,en,,,,,
Male farmer of acres employing man boys in Pembrokeshire,61110,en,764.0,,,,
Female retired upholsterer in Cheshire,99800,en,,,,,
Male late travelling sorter gpo superannuated in London (Parts Of Middlesex,99800,en,,,,,
Male train examiner wheelwright trapper in Monmouthshire,98290,en,1882.0,,,,
Male tanner in Lincolnshire,81290,en,1282.0,,,,
Male innkeeper in London,57110,en,,,,,
Female llan in Lancashire,99999,en,1918.0,,,,
Male sand quarry man in Shropshire,95210,en,1737.0,,,,
Male assistant in postboy office in Monmouthshire,38110,en,,,,,
Male farmer acreage not known in Brecknockshire,61190,en,,,,,
Male farmer acres in Leicestershire,61110,en,764.0,,,,
Male farmer of acres employing men in Yorkshire West Riding,61110,en,764.0,,,,
Male innkeeper in Suffolk,53200,en,676.0,,,,
Male timber merchant in Berkshire,41200,en,,,,,
Male travellers son in London,99999,en,1918.0,,,,
Female village nurse in Kent (Extra London),5400,en,184.0,,,,
Male drummer in Yorkshire West Riding,17210,en,,,,,
Female mustard packer in London,78290,en,1185.0,,,,
Male tool maker machine in Middlesex (Extra London),84400,en,1394.0,,,,
Female teacher of music pianist in Suffolk,13100,en,283.0,,,,
Male fireman sugar works in Essex,73300,en,954.0,,,,
Female mantle maker cutter in London (Parts Of Middlesex,79200,en,1198.0,,,,
Female girl farmer in Yorkshire West Riding,61110,en,764.0,,,,
Male teacher in Essex,13100,en,283.0,,,,
Male apprentice engine maker in Hampshire,99600,en,,,,,
Male commercial traveller in Lancashire,43100,en,628.0,,,,
Male farmer occupying acres in marham acre in Norfolk,61110,en,764.0,,,,
Male apprentice to engraver litho in Lancashire,99600,en,,,,,
Female assistant in shop coal dealer in Cheshire,41200,en,,,,,
Female housekeeper in Leicestershire,55100,en,694.0,,,,
Female cabinet maker in Worcestershire,82190,en,,,,,
Male chemists druggist in Berkshire,7190,en,224.0,,,,
Male manufacturer in Nottinghamshire,99999,en,1918.0,,,,
Female formerly tailoress in Leicestershire,79410,en,,,,,
Female builders surveyor wife in Kent (Extra London),55990,en,,,,,
Male traveller wine merchants in Worcestershire,43190,en,,,,,
Male retired farm servant in Norfolk,99800,en,,,,,
Female nursemaid in Berkshire,5400,en,184.0,,,,
Male relieving officer registrar in Buckinghamshire,32090,en,,,,,
Female dress seller in Glamorganshire,45190,en,653.0,,,,
Female general servant in Somerset,55900,en,,,,,
Male road inspector in Yorkshire West Riding,2130,en,32.0,,,,
Male blacksmith son in Northumberland,83100,en,1305.0,,,,
Male farmer acres in Northumberland,61110,en,764.0,,,,
Female nurse mother in Lincolnshire,7210,en,226.0,,,,
Female confidential clerk in Lancashire,32010,en,,,,,
Male stock fitter at bedstead works in Worcestershire,82190,en,,,,,
Male commercial clerk at copper works in Staffordshire,39100,en,585.0,,,,
Male musician in Lincolnshire,17210,en,,,,,
Male former carrier in Yorkshire West Riding,98520,en,1896.0,,,,
Female postboy mistress stationer in Staffordshire,38110,en,,,,,
Female cotton fustian cutter in Lancashire,75190,en,1019.0,,,,
Female miller wife in Kent,99999,en,1918.0,,,,
Male manager gas tubes works in Yorkshire North Riding,21110,en,457.0,,,,
Male fetler artz in Staffordshire,99999,en,1918.0,,,,
Female of geo adolphus gray mariner wife in Sussex,99999,en,1918.0,,,,
Male plumber son in Gloucestershire,99999,en,1918.0,,,,
Male scholar school in Cumberland,99999,en,1918.0,,,,
Male pressman in shoe factory in Norfolk,80100,en,1240.0,,,,
Male coachbuilder in Cheshire,84230,en,1383.0,,,,
Female box maker in Norfolk,89200,en,1548.0,,,,
Male grocer tea dealer fancy in Yorkshire North Riding,45120,en,648.0,,,,
Male traveller in Norfolk,43190,en,,,,,
Female parochial relief in Lincolnshire,99999,en,1918.0,,,,
Female warper cotton in Lancashire,75300,en,1026.0,,,,
Female carter wife in Sussex,98520,en,1896.0,,,,
Male farmer of acres employ labourer in Cornwall,61110,en,764.0,,,,
Male caner in Buckinghamshire,82390,en,,,,,
Male boot maker in London (Parts Of Middlesex,80100,en,1240.0,,,,
Male sergeant kent arty militia in Kent (Extra London),58200,en,731.0,,,,
Male wine merchant in Yorkshire East Riding,41190,en,,,,,
Male master shipwright in Cumberland,85100,en,1417.0,,,,
Male cotton fruiterer maker up in Lancashire,75190,en,1019.0,,,,
Female glove gaiter maker in Berkshire,99999,en,1918.0,,,,
Male farmer of acres in Warwickshire,61110,en,764.0,,,,
Male proprietor of houses in Wiltshire,21020,en,,,,,
Male goldsmith in Yorkshire East Riding (With,85110,en,1418.0,,,,
Male victualler and small farmer in Staffordshire,57110,en,,,,,
Female labourer farmer in Merionethshire,62110,en,777.0,,,,
Male clerk in shipwright broker office in Lancashire,32010,en,,,,,
Male cooper oil mills in Yorkshire West Riding,77290,en,1116.0,,,,
Male steward in Suffolk,32090,en,,,,,
Male laborer now incompacity brough accident by earth falling in clay pitat a brick in Cheshire,96210,en,,,,,
Female pauper domestic servant in Berkshire,95110,en,,,,,
Male bowdler in Staffordshire,99999,en,1918.0,,,,
Male bobbin putter in cotton in Lancashire,75190,en,1019.0,,,,
Male agricultural labourer in Cornwall,62110,en,777.0,,,,
Male iron moulder in Cheshire,83110,en,1306.0,,,,
Male hand woollen weaver by in Lancashire,75100,en,1009.0,,,,
Male inn keeper and butcher in Buckinghamshire,57110,en,,,,,
Male servant parlourmaid domestic in Hampshire,95110,en,,,,,
Male mason tiler plasterer employing man in Brecknockshire,82100,en,,,,,
Male mole stick maker in Berkshire,85990,en,1465.0,,,,
Male retired tanner in Devon,99800,en,,,,,
Male retired whitesmith in London,83210,en,1312.0,,,,
Male labourer in Glamorganshire,99900,en,1914.0,,,,
Female house painter in Lancashire,93110,en,,,,,
Male master builder m boys in London (Parts Of Middlesex,82300,en,,,,,
"Female income derived from freehold property in London (Parts Of Middlesex,",21020,en,,,,,
Male apprentice professor of music in Suffolk,17210,en,,,,,
Male apprentice turner in Lancashire,82110,en,,,,,
Male apprentice watch maker in Norfolk,84140,en,1368.0,,,,
Male boiler maker in Cumberland,83110,en,1306.0,,,,
Male railway engine driver in Shropshire,98210,en,,,,,
Female milkwoman in Dorset,45190,en,653.0,,,,
Male linen and woollen draper in Cambridgeshire,45130,en,650.0,,,,
Male formley wollen weaver in Yorkshire West Riding,75120,en,1011.0,,,,
Male agricultural labourer in Herefordshire,62110,en,777.0,,,,
Female fruiterer wife in London (Parts Of Middlesex,55990,en,,,,,
Female postmistress in Denbighshire,38110,en,,,,,
Male figure maker cg in Staffordshire,86100,en,1467.0,,,,
Male engine driver in Kent (Extra London),98310,en,,,,,
Male silk factory manager in Cheshire,21110,en,457.0,,,,
Male shop keeper oil colorman in London,45110,en,,,,,
Male brick maker farmer man in Wiltshire,61110,en,764.0,,,,
Female cotton minder in Yorkshire West Riding,75190,en,1019.0,,,,
Male tailor employing one man in Lancashire,79410,en,,,,,
Female glove dealer in Leicestershire,81290,en,1282.0,,,,
Male grain laborer corn dl in Lancashire,77400,en,1123.0,,,,
Male hat leather dresser in London,81290,en,1282.0,,,,
Male apprentice tailor in Middlesex,79410,en,,,,,
Male retired teacher in Nottinghamshire,13110,en,,,,,
Male engine stoker at a slate quarry in Carnarvonshire,97190,en,1830.0,,,,
Female auctioneer in Surrey,43110,en,,,,,
Female railway porter wife in Cumberland,55990,en,,,,,
Male supported by parish in Essex,99999,en,1918.0,,,,
Male jobbing in Shropshire,96210,en,,,,,
Male accountant solicitors clerk in Monmouthshire,31100,en,,,,,
Male mirror trade glass silverer in Worcestershire,89290,en,1562.0,,,,
Male dentist in Derbyshire,6120,en,191.0,,,,
Male plumber joiner in Lancashire,87110,en,1479.0,,,,
Male farmer grocer son in Norfolk,61110,en,764.0,,,,
Male working tramway stables in Cheshire,99900,en,1914.0,,,,
Male apprentice surgeon in Lincolnshire,6110,en,190.0,,,,
Female sawyer wife in Oxfordshire,55990,en,,,,,
Male journeyman bricklayer and grocer in Yorkshire West Riding,93510,en,,,,,
Female formerly a domestic servant in Shropshire,95110,en,,,,,
Female assistant clerk in cutters office alldayevening class twice a week in Surrey,32010,en,,,,,
Male nail maker in Lancashire,83190,en,1310.0,,,,
Female hotel in Cumberland,53190,en,675.0,,,,
Male umbrella repairer in Somerset,85990,en,1465.0,,,,
Male gunsmith furniture maker in Staffordshire,84190,en,1378.0,,,,
Female cook in London (Parts Of Middlesex,53100,en,670.0,,,,
Female hosiery linker in Cheshire,79990,en,1238.0,,,,
Female merchant widow in Oxfordshire,41200,en,,,,,
Female pub wife in Oxfordshire,55990,en,,,,,
Male civil gas engineer in Somerset,87200,en,1484.0,,,,
Male hall keeper in Cheshire,58190,en,,,,,
Female tobacconist wife in London (Parts Of Middlesex,55990,en,,,,,
Male mustard maker in Norfolk,79990,en,1238.0,,,,
Female clerk solicitors in Leicestershire,39100,en,585.0,,,,
Male silk throwster in Lincolnshire,75110,en,,,,,
Female stock exchange in Cheshire,32090,en,,,,,
Female fundholde in Yorkshire West Riding,21020,en,,,,,
Male postal rearman in Yorkshire East Riding,38110,en,,,,,
Male clerk and volunteer in London,32010,en,,,,,
Male house joiner and wood turner in Cumberland,81220,en,1273.0,,,,
Male bath in Gloucestershire,99999,en,1918.0,,,,
Female proprietor of funds c in Oxfordshire,99999,en,1918.0,,,,
Male bankers clerk in Brecknockshire,32010,en,,,,,
Male water seller in Cheshire,45190,en,653.0,,,,
Female maltster in Norfolk,77200,en,1110.0,,,,
Male pensioner labourer and chelsea in Sussex,96210,en,,,,,
Male scholar home duties in Dorset,99999,en,1918.0,,,,
Male child in Cardiganshire,99999,en,1918.0,,,,
Male railway servant in Somerset,98290,en,1882.0,,,,
Female gas house work in Norfolk,99999,en,1918.0,,,,
Male and decorator in London,93110,en,,,,,
Male hawkers a c c in Essex,45190,en,653.0,,,,
Male pauper in Northumberland,99999,en,1918.0,,,,
Male agricultural labourer in Gloucestershire,62100,en,775.0,,,,
Female organ builder wife in Norfolk,99999,en,1918.0,,,,
Male book binder in Staffordshire,92200,en,1632.0,,,,
Male late painters labourer in Northamptonshire,99900,en,1914.0,,,,
Male miller in Buckinghamshire,77110,en,,,,,
Male carriers booking clerk in Middlesex,32010,en,,,,,
Male butcher in Devon,78210,en,,,,,
Male wesleyan schoolmaster in Yorkshire West Riding,13110,en,,,,,
Male servant to a family domestic in Kent (Extra London),55900,en,,,,,
Male rail carriage fitter in Warwickshire,98290,en,1882.0,,,,
Male foreman labourer manner works in Northumberland,99999,en,1918.0,,,,
Male musician in Hertfordshire,17210,en,,,,,
Male hoop maker wood dealer in Wiltshire,82290,en,,,,,
Male sheriffs man in London (Parts Of Middlesex,58100,en,726.0,,,,
Female pensioners scholar daughter in Worcestershire,99999,en,1918.0,,,,
Male apprentice iron moulder in Northumberland,99600,en,,,,,
Male bargeman in Middlesex,98320,en,1884.0,,,,
Male agricultural labourer in Merionethshire,62110,en,777.0,,,,
Male clerk of curtons house agent in London,32010,en,,,,,
Female consulting engineers typist in Warwickshire,32010,en,,,,,
Male laborer carriage cleaner in London (Parts Of Middlesex,99900,en,1914.0,,,,
Female formarly agricultural labourer deceased in Cardiganshire,62110,en,777.0,,,,
Female boiler maker in Durham,83110,en,1306.0,,,,
Female late farm servant in Herefordshire,62110,en,777.0,,,,
Female daughter assistant in Staffordshire,99999,en,1918.0,,,,
Male power loom twister of cotton in Lancashire,75190,en,1019.0,,,,
Female servant domestic housemaid in Cheshire,95110,en,,,,,
Female farmer acres employs men in Shropshire,61110,en,764.0,,,,
Male carriage maker in Hertfordshire,85300,en,1433.0,,,,
Female teacher national school in Norfolk,13110,en,,,,,
Male house decr employing men in London (Parts Of Middlesex,82300,en,,,,,
Male railway pointman in Anglesey,98290,en,1882.0,,,,
Male rate and tax collector clerk in London (Parts Of Middlesex,39400,en,602.0,,,,
Male labourer gardener in Shropshire,62290,en,786.0,,,,
Male apprentice g in Lancashire,99600,en,,,,,
Female wesleyan ministers daughter in Northumberland,14100,en,326.0,,,,
Male timekeeper paper works in London,32010,en,,,,,
Female horsekeeper wife in Monmouthshire,55990,en,,,,,
Female work at the needle in Somerset,79420,en,1211.0,,,,
Female ag labs wife in Gloucestershire,62110,en,777.0,,,,
Male ironworker turner over in Staffordshire,73200,en,945.0,,,,
Male farmer of acres grocer in Lincolnshire,61110,en,764.0,,,,
Male coachmaker maker carriage in London,84230,en,1383.0,,,,
Female launder in Kent,95990,en,1796.0,,,,
Female trained nurse sm in Nottinghamshire,5400,en,184.0,,,,
Female twine spinners wife in Norfolk,55990,en,,,,,
Male farmer of acres employing laborers in Berkshire,61110,en,764.0,,,,
Male pensioner chemical labourer in Derbyshire,99999,en,1918.0,,,,
Male hosier in Essex,81390,en,,,,,
Male mangler in Hampshire,95990,en,1796.0,,,,
Male brewer maltster farmer in Lincolnshire,77200,en,1110.0,,,,
Male farmer of acres employing boys in Carmarthenshire,61110,en,764.0,,,,
Male shoe in Kent,81160,en,,,,,
Male weaver worsted in Somerset,75100,en,1009.0,,,,
Male farmer of acres employing mens and boys in Northamptonshire,61110,en,764.0,,,,
Male coachmaker trimmer in Middlesex,84230,en,1383.0,,,,
Male servant hotel in Hampshire,55900,en,,,,,
Female maltster maker wife in Staffordshire,55990,en,,,,,
Male brickyard labourer layer in Kent (Extra London),82200,en,,,,,
Female machine maker in Northumberland,84190,en,1378.0,,,,
Female shop manager in Anglesey,20100,en,451.0,,,,
Female formerly a domestic cook in Carnarvonshire,53110,en,,,,,
Male farm laborer in Dorset,62100,en,775.0,,,,
Male soldier in Oxfordshire,1210,en,10.0,,,,
Male chelsea out pensioner in Yorkshire East Riding,99999,en,1918.0,,,,
Male worsted factory line keeper in Yorkshire West Riding,75010,en,,,,,
Male telegraphist government in London,37210,en,,,,,
Male agricultural labourer in Warwickshire,62110,en,777.0,,,,
Male master plumber employing plumbers plumber labs in Leicestershire,87110,en,1479.0,,,,
Male income from land in Cumberland,99999,en,1918.0,,,,
Male boy farmer of acres employ labourer and in Somerset,61110,en,764.0,,,,
Male tea dealer and book seller in Kent,45140,en,651.0,,,,
Male farmer of acres cordwainer in Cumberland,61110,en,764.0,,,,
Female tailor in Cornwall,79410,en,,,,,
Male farmer of acres employing labourer and in Worcestershire,61110,en,764.0,,,,
Male vicar of wantage in Berkshire,14100,en,326.0,,,,
Male dairyman bootmaker in Somerset,78110,en,,,,,
Female box maker in Leicestershire,89200,en,1548.0,,,,
Male inspector of waggons railway in Shropshire,20200,en,453.0,,,,
Male glass metal maker in Warwickshire,89290,en,1562.0,,,,
Male mangler in Somerset,95990,en,1796.0,,,,
Male linen draper assistants in Berkshire,45130,en,650.0,,,,
Male farmer of acres of land in Pembrokeshire,61110,en,764.0,,,,
Male out door officer labourer in Yorkshire East Riding,96210,en,,,,,
Male manager beer house and brewers labourer in Lancashire,77310,en,1118.0,,,,
Male hat maker hatter in London (Parts Of Middlesex,79200,en,1198.0,,,,
Male hackenneths in Staffordshire,99999,en,1918.0,,,,
Male brick layer inn keeper in Leicestershire,93510,en,,,,,
Male trap manufacturer vermin control man in Staffordshire,89500,en,1575.0,,,,
Female needlewomam in Oxfordshire,79300,en,1205.0,,,,
Male chief superintendent of police department constbale in Northamptonshire,58010,en,,,,,
Male farmer acres in Cheshire,61110,en,764.0,,,,
Male sawyer in Warwickshire,82210,en,,,,,
Male pattern maker in Nottinghamshire,84500,en,,,,,
Male apprentice over looker of in Cheshire,99990,en,,,,,
Male railway coachmaker shop laborer in Northamptonshire,84230,en,1383.0,,,,
Male late captn kings own light infantry militia in London (Parts Of Middlesex,99800,en,,,,,
Female hand power loom woolen in Lancashire,75120,en,1011.0,,,,
Male wheelwright and machine mate in Lincolnshire,85500,en,1443.0,,,,
Female servant nursemaid in Middlesex,95110,en,,,,,
Male farmer land proprietor of acres employin in Devon,61110,en,764.0,,,,
Male work of art in Staffordshire,99999,en,1918.0,,,,
