Year,County,Sex,Occupation_String,Occode,HISCO_x,Count,HISCO_y,Occode_Desc,HISCO_Desc,complexity,standardized,category,confidence,needs_llm_check,confidence_reason,invalid_words,is_multiple_occupation
1901,GLAMORGANSHIRE,Female,milkseller,677,61260,1,45220,"COWKEEPERS, MILKSELLERS",Street Vendor,simple,milkseller,food_drink,0.27,True,unchanged_with_many_invalid_words,['milkseller'],False
1901,GLAMORGANSHIRE,Male,agr lbr,181,62110,2,62105,"AGRICULTURAL LABOURER, FARM SERVANT--NOT OTHERWISE DISTINGUISHED","Farm-Worker, General",,agr lbr,other,0.27,True,unchanged_with_many_invalid_words,"['agr', 'lbr']",False
1901,MIDDLESEX,Male,sight filer rifles r s a f,27,58420,1,58340,MEN OF THE MARINES,Other Military Ranks,,sight filer rifles r s a f,other,0.27,True,unchanged_with_many_invalid_words,"['r', 's', 'a', 'f']",False
1901,GLOUCESTERSHIRE,Male,haulier j c,142,98590,1,98630,HAULIERS (MINE),Animal‑Drawn Vehicle Driver (Mine and Quarry),,haulier j c,other,0.27,True,unchanged_with_many_invalid_words,"['j', 'c']",False
1901,WARWICKSHIRE,Male,ashphelter,435,95150,4,95160,PAVIORS,Paviour,simple,ashphelter,other,0.27,True,unchanged_with_many_invalid_words,['ashphelter'],False
1901,GLOUCESTERSHIRE,Male,sch,787,99999,1,99999,SCHOLARS ETC,Unspecified worktitle or several titles,simple,sch,professional_clerical,0.27,True,unchanged_with_many_invalid_words,['sch'],False
1901,MONMOUTHSHIRE,Male,gen labour g w r,27,58420,1,58340,MEN OF THE MARINES,Other Military Ranks,,gen labour g w r,other,0.27,True,unchanged_with_many_invalid_words,"['g', 'w', 'r']",False
1901,CHESHIRE,Male,g p o postman,3,37030,1,37030,POSTMEN,Postman,,g p o postman,other,0.27,True,unchanged_with_many_invalid_words,"['g', 'p', 'o']",False
1901,BERKSHIRE,Female,chapelkeeper,95,55100,1,55190,CHURCH CHAPEL CEMETERY CARETAKERS KEEPERS,Other Building Caretakers,simple,chapelkeeper,other,0.27,True,unchanged_with_many_invalid_words,['chapelkeeper'],False
1901,OXFORDSHIRE,Male,corpt r e teleh work,27,58420,1,58340,MEN OF THE MARINES,Other Military Ranks,,corpt r e teleh work,other,0.27,True,unchanged_with_many_invalid_words,"['corpt', 'r', 'e', 'teleh']",False
1901,WILTSHIRE,Female,journeyman bakers wife,788,99999,1,99999,WIVES AND OTHERS ENGAGED IN (OWN) HOUSEHOLD DUTIES,Unspecified worktitle or several titles,,baker wife,family_dependent,0.42224339748551415,True,low_confidence,[],False
1901,DERBYSHIRE,Female,butchers wife shopkeeper,789,99999,1,99999,WIVES ASSISTING GENERALLY IN THEIR HUSBANDS OCCUPATIONS (WIFE OF à),Unspecified worktitle or several titles,,beershop keeper wife,family_dependent,0.4338445220018106,True,modification_poor_result,['beershop'],False
1901,LEICESTERSHIRE,Male,milliers wagoner,180,62460,2,62460,"AGRICULTURAL LABOURER, FARM SERVANT--DISTINGUISHED AS IN CHARGE OF HORSES",Horse Worker,moderate,milliers wagoner,other,0.54,True,unchanged_with_some_invalid_words,['milliers'],False
1901,LANCASHIRE,Male,mouldsman steel smelting works,244,72100,1,72000,"STEEL--MANUFACTURE, SMELTING, FOUNDING","Metal Processor, Specialisation Unknown",,mouldsman steel smelting works,other,0.54,True,unchanged_with_some_invalid_words,['mouldsman'],False
1901,LANCASHIRE,Male,copper manfr clerk,119,39310,1,30000,COMMERCIAL OR BUSINESS CLERKS,"Clerical or Related Worker, Specialisation Unknown",moderate,copper manfr clerk,professional_clerical,0.54,True,unchanged_with_some_invalid_words,['manfr'],False
1901,LONDON,Male,g servant domestic,84,54020,1,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,,g servant domestic,domestic_service,0.54,True,unchanged_with_some_invalid_words,['g'],False
1901,SUFFOLK,Male,ordinary agri laborer,181,62110,5,62120,"AGRICULTURAL LABOURER, FARM SERVANT--NOT OTHERWISE DISTINGUISHED",Farm Servant,,ordinary agri laborer,other,0.54,True,unchanged_with_some_invalid_words,['agri'],False
1901,SUFFOLK,Male,barkers apprentic,410,95420,1,99910,"CARPENTER'S, JOINER'S--LABOURER",Labourer,,barkers apprentic,other,0.54,True,unchanged_with_some_invalid_words,['apprentic'],False
1901,LANCASHIRE,Male,callender man bleach wks,610,75600,1,75615,SILK BLEACHERS,Textile Bleacher,,callender man bleach wks,other,0.54,True,unchanged_with_some_invalid_words,"['callender', 'wks']",False
1901,LANCASHIRE,Male,genl labr on farm,181,62110,1,62105,"AGRICULTURAL LABOURER, FARM SERVANT--NOT OTHERWISE DISTINGUISHED","Farm-Worker, General",,genl labr on farm,other,0.54,True,unchanged_with_some_invalid_words,"['genl', 'labr']",False
1901,LANCASHIRE,Male,margarline traveller,114,43090,1,43200,COMMERCIAL TRAVELLERS AND MANUFACTURERS' AGENTS,Commercial Travellers and Manufacturers Agents,,margarline traveller,other,0.54,True,unchanged_with_some_invalid_words,['margarline'],False
1901,LANCASHIRE,Male,wharehouse porter,171,37040,5,58940,"MESSENGER, PORTER, WATCHMAN (NOT RAILWAY OR GOVERNMENT)",Watchman,,wharehouse porter,transport_communication,0.54,True,unchanged_with_some_invalid_words,['wharehouse'],False
1901,LANCASHIRE,Male,ironfounders coremaker,259,72400,1,72500,"IRONFOUNDER -- MOULDERS, CORE MAKERS, FETTER, CUPOLA, OVERN-MAN, FOUNDRY LABOURER, OTHER & UNDEFINED","Metal Moulder or Coremaker, Specialisation Unknown",,ironfounders coremaker,other,0.54,True,unchanged_with_some_invalid_words,['ironfounders'],False
1901,LANCASHIRE,Male,cattleboy on farm,179,62420,5,62420,"AGRICULTURAL LABOURER, FARM SERVANT--DISTINGUISHED AS IN CHARGE OF CATTLE",Beef Cattle Farm Worker,,cattleboy on farm,other,0.54,True,unchanged_with_some_invalid_words,['cattleboy'],False
1901,LONDON,Male,retired cut glass manfr,379,41015,1,41020,LEAD DEALERS,Working Proprietor (Wholesale Trade),,retired cut glass manfr,unemployed_seeking,0.54,True,unchanged_with_some_invalid_words,['manfr'],False
1901,LONDON,Male,labourer artyl manure works,488,74920,1,74220,MANURE MANUFACTURE BONE BOILERS,Cooker (Chemical and Related Processes),,labourer artyl manure works,general_labour,0.54,True,unchanged_with_some_invalid_words,['artyl'],False
1901,LONDON,Male,telegraphist govt,172,38010,1,38000,"TELEGRAPH, TELEPHONE--SERVICE (NOT GOVERNMENT)","Telephone or Telegraph Operator, Specialisation Unknown",,telegraphist govt,other,0.54,True,unchanged_with_some_invalid_words,['govt'],False
1901,LONDON,Male,carriers cerk,146,97190,1,97190,OTHERS CONNECTED WITH CARRIAGE/CARTAGE (NOT MINE),Other Dockers and Freight Handlers,,carriers cerk,transport_communication,0.54,True,unchanged_with_some_invalid_words,['cerk'],False
1901,ESSEX,Male,inn caulker,713,51020,1,51020,"INNKEEPERS, HOTEL KEEPERS AND PUBLICANS",Working Proprietor (Hotel and Restaurant),,inn caulker,other,0.54,True,unchanged_with_some_invalid_words,['caulker'],False
1901,HAMPSHIRE,Female,army p teacher,54,13990,1,13990,SCHOOL SERVICE (PUPIL TEACHERS),Other Teachers,,army p teacher,professional_clerical,0.54,True,unchanged_with_some_invalid_words,['p'],False
1901,LEICESTERSHIRE,Male,secy to limited comp,363,84400,1,87370,MOTOR CAR CHASSIS MAKER: MOTOR CAR MECHANIC,Vehicle Sheet-Metal Worker,complex,secy to limited comp,other,0.54,True,unchanged_with_some_invalid_words,['secy'],False
1901,SUSSEX,Male,superintendant assurance,123,39310,1,39350,INSURANCE OFFICIALS CLERKS,Insurance Clerk,,superintendant assurance,other,0.54,True,unchanged_with_some_invalid_words,['superintendant'],False
1901,LANCASHIRE,Male,iron mongers apprentis,334,72000,1,83000,IRON WORKERS (UNDEFINED),"Blacksmith, Toolmaker or Machine-Tool Operator, Specialisation Unknown",,iron mongers apprentis,other,0.54,True,unchanged_with_some_invalid_words,['apprentis'],False
1901,LEICESTERSHIRE,Male,apprentice to blindmaking,769,99150,1,99999,APPRENTICES,Unspecified worktitle or several titles,,apprentice to blindmaking,other,0.54,True,unchanged_with_some_invalid_words,['blindmaking'],False
1901,DURHAM,Male,coalminer pony driver underground,198,71120,1,71105,COAL MINERS - OTHERS BELOW GROUND & UNDEFINED,"Miner, General",,coalminer pony driver underground,mining_quarrying,0.54,True,unchanged_with_some_invalid_words,['coalminer'],False
1901,ESSEX,Male,sorter general p o,2,37020,1,37020,OTHER POST OFFICE OFFICERS AND CLERKS,Mail Sorting Clerk,,sorter general p o,other,0.54,True,unchanged_with_some_invalid_words,"['p', 'o']",False
1901,DURHAM,Male,machine man boilershop,533,92110,1,92230,PRINTING MACHINE MINDERS,Rotary Pressman,,machine man boilershop,other,0.54,True,unchanged_with_some_invalid_words,['boilershop'],False
1901,ESSEX,Male,pensioned letter sorter g p o,2,37020,1,37090,OTHER POST OFFICE OFFICERS AND CLERKS,Other Mail Distribution Clerks,,pensioned letter sorter g p o,other,0.54,True,unchanged_with_some_invalid_words,"['g', 'p', 'o']",False
1901,ESSEX,Male,general labourer sugar refny,765,99130,1,99910,GENERAL LABOURERS,Labourer,,general labourer sugar refny,general_labour,0.54,True,unchanged_with_some_invalid_words,['refny'],False
1901,LANCASHIRE,Female,woolen yarn twiner retd,632,41010,1,41020,YARN MERCHANT,Working Proprietor (Wholesale Trade),complex,woolen yarn twiner retd,other,0.54,True,unchanged_with_some_invalid_words,['retd'],False
1901,CUMBERLAND,Female,genl servant domestic,84,54020,5,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,,genl servant domestic,domestic_service,0.54,True,unchanged_with_some_invalid_words,['genl'],False
1901,HERTFORDSHIRE,Male,clerk solrs,41,12900,1,12210,OTHERS CONNECTED WITH LAW,Judge,moderate,clerk solrs,professional_clerical,0.54,True,unchanged_with_some_invalid_words,['solrs'],False
1901,NORTHUMBERLAND,Male,shipyard labourer holderup,350,87520,1,95440,WOOD SHIPS - WORKER IN WOOD,Wood Shipwright,,shipyard labourer holderup,general_labour,0.54,True,unchanged_with_some_invalid_words,['holderup'],False
1901,YORKSHIRE EAST RIDING,Male,manager military dept,120,21182,1,21110,BANKERS,General Manager,,manager military dept,other,0.54,True,unchanged_with_some_invalid_words,['dept'],False
1901,STAFFORDSHIRE,Male,packer at emanel works,329,83890,1,83990,IRON CLASP BUCKLE HINGE MAKERS,"Other Blacksmiths, Toolmakers and MachineTool Operators Not Elsewhere Classified",,packer at emanel works,other,0.54,True,unchanged_with_some_invalid_words,['emanel'],False
1901,STAFFORDSHIRE,Male,working baliff on farm,177,61400,1,21230,FARM - BAILIFFS STEWARDS FOREMEN,Farm Manager,,working baliff on farm,other,0.54,True,unchanged_with_some_invalid_words,['baliff'],False
1901,STAFFORDSHIRE,Male,retired blastfurnace man,772,99999,1,99999,RETIRED (NOT ARMY OR NAVY),Unspecified worktitle or several titles,,retired blastfurnace man,unemployed_seeking,0.54,True,unchanged_with_some_invalid_words,['blastfurnace'],False
1901,STAFFORDSHIRE,Male,tailor assistt,653,79120,1,79100,TAILORS (NOT MERCHANTS) - DEFAULT,"Tailor, Specialisation Unknown",moderate,tailor assistt,clothing_footwear,0.54,True,unchanged_with_some_invalid_words,['assistt'],False
1901,LONDON,Male,engineer st olaves infirmary,443,84130,1,87310,REFRIGERATOR MAKER,"Sheet-Metal Worker, General",,engineer st olaves infirmary,other,0.54,True,unchanged_with_some_invalid_words,['olaves'],False
1901,LONDON,Male,clerk to ashestor company,119,39310,1,30000,COMMERCIAL OR BUSINESS CLERKS,"Clerical or Related Worker, Specialisation Unknown",,clerk to ashestor company,professional_clerical,0.54,True,unchanged_with_some_invalid_words,['ashestor'],False
1901,LONDON,Female,civil servant clerk g p o saving bank,1,38010,1,38000,"POST OFFICE - TELEGRAPHISTS, TELEPHONE OPERATORS","Telephone or Telegraph Operator, Specialisation Unknown",,civil servant clerk g p o saving bank,domestic_service,0.54,True,unchanged_with_some_invalid_words,"['g', 'p', 'o']",False
1901,LANCASHIRE,Male,letter press printers appce,537,92900,1,92990,OTHERS IN PRINTING,Other Printers and Related Workers,,letter press printers appce,crafts_trades,0.54,True,unchanged_with_some_invalid_words,['appce'],False
1901,LONDON,Male,carman borough camberwell,141,98550,1,98620,CARMEN CARRIERS CARTERS AND DRAYMEN,Animal-Drawn Vehicle Driver (Road),,carman borough camberwell,transport_communication,0.54,True,unchanged_with_some_invalid_words,['camberwell'],False
1901,SURREY,Male,theatre bill inspetr,732,59990,1,59990,"SANDWICHMEN, BILL DISTRIBUTORS",Other Service Workers Not Elsewhere Classified,,theatre bill inspetr,other,0.54,True,unchanged_with_some_invalid_words,['inspetr'],False
1901,LONDON,Male,warehouse man boot fcty,168,97190,1,97145,WAREHOUSEMEN (NOT MANCHESTER GOODS),Warehouse Porter,,warehouse man boot fcty,general_labour,0.54,True,unchanged_with_some_invalid_words,['fcty'],False
1901,CHESHIRE,Female,book keeper smallware mercht,63,19100,1,19190,"LIBRARIANS (LITERARY, SCIENTIFIC SOCIETY)","Other Librarians, Archivists and Curators",,book keeper smallware mercht,other,0.54,True,unchanged_with_some_invalid_words,['mercht'],False
1901,CARNARVONSHIRE,Male,clerk mineral water manufact,143,97190,1,97190,WATER CARRIERS,Other Dockers and Freight Handlers,,clerk mineral water manufact,mining_quarrying,0.54,True,unchanged_with_some_invalid_words,['manufact'],False
1901,DERBYSHIRE,Male,apprentice electrian engineer,363,84400,1,84320,MOTOR CAR CHASSIS MAKER: MOTOR CAR MECHANIC,Automobile Mechanic,,apprentice electrian engineer,other,0.54,True,unchanged_with_some_invalid_words,['electrian'],False
1901,STAFFORDSHIRE,Male,chemists asst,482,41010,1,6710,CHEMISTS DRUGGISTS,Pharmacist,,chemists asst,other,0.54,True,unchanged_with_some_invalid_words,['asst'],False
1901,STAFFORDSHIRE,Female,brick wks oven,471,41010,1,41020,BRICK DEALERS,Working Proprietor (Wholesale Trade),,brick wks oven,other,0.54,True,unchanged_with_some_invalid_words,['wks'],False
1901,WARWICKSHIRE,Female,machine minder munition wks,533,92110,5,92250,PRINTING MACHINE MINDERS,Direct Lithographic Pressman,,machine minder munition wks,other,0.54,True,unchanged_with_some_invalid_words,['wks'],False
1901,GLOUCESTERSHIRE,Female,f daughter,791,99999,1,99999,CHILDREN RELATIVES VISITORS AT HOME,Unspecified worktitle or several titles,,f daughter,family_dependent,0.54,True,unchanged_with_some_invalid_words,['f'],False
1901,GLOUCESTERSHIRE,Male,railway wagon examr,360,81300,1,81920,"RAILWAY--COACH, WAGON MAKER",CoachBody Builder,,railway wagon examr,other,0.54,True,unchanged_with_some_invalid_words,['examr'],False
1901,SURREY,Male,civil servant h m geological society,6,20200,1,20210,OTHER CIVIL SERVICE OFFICERS AND CLERKS,Government Administrator,,civil servant h m geological society,domestic_service,0.54,True,unchanged_with_some_invalid_words,"['h', 'm']",False
1901,YORKSHIRE WEST RIDING,Male,boiler riviting,275,87350,1,87350,BOILER MAKERS,Boilersmith,moderate,boiler riviting,other,0.54,True,unchanged_with_some_invalid_words,['riviting'],False
1901,YORKSHIRE WEST RIDING,Male,retired cloth tuller,772,99999,1,99999,RETIRED (NOT ARMY OR NAVY),Unspecified worktitle or several titles,,retired cloth tuller,unemployed_seeking,0.54,True,unchanged_with_some_invalid_words,['tuller'],False
1901,YORKSHIRE WEST RIDING,Male,markett gardener laborer,185,62710,1,62740,OTHER GARDENER (NOT DOMESTIC),Gardener,,markett gardener laborer,agricultural,0.54,True,unchanged_with_some_invalid_words,['markett'],False
1901,YORKSHIRE WEST RIDING,Male,secretary at dyeworks,329,83890,1,83990,IRON CLASP BUCKLE HINGE MAKERS,"Other Blacksmiths, Toolmakers and MachineTool Operators Not Elsewhere Classified",,secretary at dyeworks,other,0.54,True,unchanged_with_some_invalid_words,['dyeworks'],False
1901,CHESHIRE,Female,head housemaid domc,82,54090,1,54090,"DOMESTIC INDOOR SERVANTS IN HOTELS, LODGING HOUSES AND EATING HOUSES",Other Maids and Related Housekeeping Service Workers,moderate,head housemaid domc,other,0.54,True,unchanged_with_some_invalid_words,['domc'],False
1901,YORKSHIRE WEST RIDING,Male,groce digger,231,71130,1,71190,FOSSIL COPROLITE DIGGERS,Other Miners and Quarrymen,moderate,groce digger,other,0.54,True,unchanged_with_some_invalid_words,['groce'],False
1901,YORKSHIRE WEST RIDING,Female,harnish weaver,510,80320,3,80320,SADDLE HARNESS AND WHIP MAKERS,Saddler and Harness Maker,,harnish weaver,textile_manufacture,0.54,True,unchanged_with_some_invalid_words,['harnish'],False
1901,YORKSHIRE WEST RIDING,Male,chemical furniceman,480,1100,1,1190,MANUFACTURING CHEMIST,Other Chemists,,chemical furniceman,other,0.54,True,unchanged_with_some_invalid_words,['furniceman'],False
1901,YORKSHIRE NORTH RIDING,Male,apprentice plater shipyd,275,87350,4,87350,BOILER MAKERS,Boilersmith,,apprentice plater shipyd,other,0.54,True,unchanged_with_some_invalid_words,['shipyd'],False
1901,CARMARTHENSHIRE,Male,mab amaethwr,173,61110,1,61110,"FARMER, GRAZIER",General Farmer,,mab amaethwr,other,0.54,True,unchanged_with_some_invalid_words,['amaethwr'],False
1901,WORCESTERSHIRE,Female,sevants register office,2,37020,1,37020,OTHER POST OFFICE OFFICERS AND CLERKS,Mail Sorting Clerk,,sevants register office,other,0.54,True,unchanged_with_some_invalid_words,['sevants'],False
1901,WORCESTERSHIRE,Male,odd jobbs about farm,177,61400,1,21230,FARM - BAILIFFS STEWARDS FOREMEN,Farm Manager,,odd jobbs about farm,other,0.54,True,unchanged_with_some_invalid_words,['jobbs'],False
1901,WILTSHIRE,Male,brewer manufactuer,709,77820,1,77810,BREWERS,"Brewer, General",,brewer manufactuer,food_drink,0.54,True,unchanged_with_some_invalid_words,['manufactuer'],False
1901,NOTTINGHAMSHIRE,Male,leivers lace maker,593,75400,15,75452,LACE MANUFACTURE,Lace Weaver (Hand or Machine),,leivers lace maker,other,0.54,True,unchanged_with_some_invalid_words,['leivers'],False
1901,WORCESTERSHIRE,Male,accountts clerk,41,12900,1,12210,OTHERS CONNECTED WITH LAW,Judge,,accountts clerk,professional_clerical,0.54,True,unchanged_with_some_invalid_words,['accountts'],False
1901,DEVON,Male,petty officer st cl r n,24,58430,1,58340,MEN OF THE NAVY (INC COASTGUARDS),Other Military Ranks,,petty officer st cl r n,other,0.54,True,unchanged_with_some_invalid_words,"['r', 'n']",False
1901,WARWICKSHIRE,Male,railway foreman loco dept,429,21290,1,21240,RAILWAY CONTRACTORS,Contractor,,railway foreman loco dept,other,0.54,True,unchanged_with_some_invalid_words,['dept'],False
1901,MIDDLESEX,Male,sewerage contractors stockeeper,428,21220,1,21240,CONTRACTORS: PUBLIC WORKS: SEWER DRAINAGE DOCK HARBOUR CANAL,Contractor,,sewerage contractors stockeeper,other,0.54,True,unchanged_with_some_invalid_words,['stockeeper'],False
1901,MIDDLESEX,Male,picture frame makers assistt,461,81990,1,81990,OTHER WORKERS IN WOOD,Other Cabinetmakers and Related Woodworkers,,picture frame makers assistt,other,0.54,True,unchanged_with_some_invalid_words,['assistt'],False
1901,MIDDLESEX,Male,stone keeper dist ry co,220,21140,1,21110,STONE QUARRY MINE OWNERS,General Manager,,stone keeper dist ry co,other,0.54,True,unchanged_with_some_invalid_words,"['dist', 'ry']",False
1901,SOMERSET,Female,genral servant domestic,84,54020,1,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,,genral servant domestic,domestic_service,0.54,True,unchanged_with_some_invalid_words,['genral'],False
1901,SOMERSET,Male,drapers asst,628,41010,1,41025,DRAPERS LINEN DRAPERS MERCERS,Working Proprietor (Wholesale or Retail Trade),,drapers asst,retail_trade,0.54,True,unchanged_with_some_invalid_words,['asst'],False
1901,LINCOLNSHIRE,Male,poutry dresser,626,75600,1,75600,FLAX LINEN FINISHERS,"Bleachers, Dyers and Textile Product Finishers",,poutry dresser,other,0.54,True,unchanged_with_some_invalid_words,['poutry'],False
1901,STAFFORDSHIRE,Male,master seisdon union workhouse,12,31090,1,31090,POOR LAW SERVICE,Government Executive Officials Not Elsewhere Classified,,master seisdon union workhouse,other,0.54,True,unchanged_with_some_invalid_words,['seisdon'],False
1901,YORKSHIRE NORTH RIDING,Female,g wife,788,99999,1,99999,WIVES AND OTHERS ENGAGED IN (OWN) HOUSEHOLD DUTIES,Unspecified worktitle or several titles,,g wife,family_dependent,0.54,True,unchanged_with_some_invalid_words,['g'],False
1901,OXFORDSHIRE,Male,retired lieut colonel,19,58420,1,58320,ARMY OFFICERS (RETIRED),Officer,,retired lieut colonel,unemployed_seeking,0.54,True,unchanged_with_some_invalid_words,['lieut'],False
1901,OXFORDSHIRE,Male,drapers apprentrice,628,41010,1,41025,DRAPERS LINEN DRAPERS MERCERS,Working Proprietor (Wholesale or Retail Trade),,drapers apprentrice,retail_trade,0.54,True,unchanged_with_some_invalid_words,['apprentrice'],False
1901,MONTGOMERYSHIRE,Male,manager flannel dept warehouse,563,75000,1,75000,FLANNEL MANUFACTURE (VARIOUS),"Spinners, Weavers, Knitters, Dyers and Related Workers, Specialisation Unknown",,manager flannel dept warehouse,other,0.54,True,unchanged_with_some_invalid_words,['dept'],False
1901,SHROPSHIRE,Male,sand quary man,239,41015,1,41020,SAND FLINT CLAY GRAVEL DEALERS,Working Proprietor (Wholesale Trade),,sand quary man,other,0.54,True,unchanged_with_some_invalid_words,['quary'],False
1901,BEDFORDSHIRE,Male,retired captain h m army,19,58420,1,58320,ARMY OFFICERS (RETIRED),Officer,,retired captain h m army,unemployed_seeking,0.54,True,unchanged_with_some_invalid_words,"['h', 'm']",False
1901,NORFOLK,Male,labourer ry loco works,485,74100,1,74500,MINERAL OIL WORKER,"Petroleum-Refining Worker, Specialisation Unknown",,labourer ry loco works,general_labour,0.54,True,unchanged_with_some_invalid_words,['ry'],False
1901,-,Male,lg stoker nd class,24,58430,23,58340,MEN OF THE NAVY (INC COASTGUARDS),Other Military Ranks,complex,lg stoker nd class,transport_communication,0.54,True,unchanged_with_some_invalid_words,['lg'],False
1901,SHROPSHIRE,Male,land agnest clerk,119,39310,1,30000,COMMERCIAL OR BUSINESS CLERKS,"Clerical or Related Worker, Specialisation Unknown",,land agnest clerk,professional_clerical,0.54,True,unchanged_with_some_invalid_words,['agnest'],False
1901,KENT,Male,platelayer on s e c railway,131,97430,1,99910,"PLATELAYER, GANGER, PACKER",Labourer,,platelayer on s e c railway,other,0.54,True,unchanged_with_some_invalid_words,"['s', 'e', 'c']",False
