County,Sex,Occode,final_result,Count,Year,Occupation_String,HISCO_x,HISCO_y,Occode_Desc,HISCO_Desc,complexity,standardized,category,confidence,needs_llm_check,confidence_reason,invalid_words,is_multiple_occupation,standardized_llm,OccCANINE_Check,all_predicted_hisco,prediction_count,prediction_details
Bedfordshire,Male,173,farmer of acres,1,1881,farmers of  acres,61110,61110,"FARMER, GRAZIER",General Farmer,moderate,farmer of acres,agricultural,0.7795314113842621,False,acceptable_quality,[],False,,"[[61110, np.float32(0.98210955), 'General Farmer']]",,,
Bedfordshire,Male,177,farm bailiff,1,1881,retd farm bailiff,61400,21230,FARM - BAILIFFS STEWARDS FOREMEN,Farm Manager,,farm bailiff,agricultural,0.8468983193724677,False,acceptable_quality,[],False,,"[[22520, np.float32(0.6732696), 'Farm Supervisor'], [59990, np.float32(0.3656013), 'Other Service Workers Not Elsewhere Classified']]",,,
Bedfordshire,Male,612,bleacher leghorn,1,1881,bleacher leghorn,75600,75615,FLAX LINEN BLEACHERS,Textile Bleacher,,bleacher leghorn,other,0.9,False,acceptable_quality,[],False,,"[[75600, np.float32(0.9284047), 'Bleachers, Dyers and Textile Product Finishers']]",,,
Bedfordshire,Male,789,labourer in gardens n d,1,1881,labourer in garden n d,99999,99999,WIVES ASSISTING GENERALLY IN THEIR HUSBANDS OCCUPATIONS (WIFE OF à),Unspecified worktitle or several titles,complex,labourer in garden n d,general_labour,0.54,True,unchanged_with_some_invalid_words,"['n', 'd']",False,labourer in garden n d,[],,,
Berkshire,Male,139,groom,87,1881,groom,62460,62460,"HORSEKEEPER, GROOM, STABLEMAN (NOT DOMESTIC)",Horse Worker,simple,groom,personal_service,0.9,False,acceptable_quality,[],False,,"[[62460, np.float32(0.9812046), 'Horse Worker']]",,,
Berkshire,Female,84,nursemaid,78,1881,nursemaid,54020,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,simple,nursemaid,domestic_service,0.9,False,acceptable_quality,[],False,,"[[54090, np.float32(0.35030916), 'Other Maids and Related Housekeeping Service Workers']]",,,
Berkshire,Male,462,timber merchant,10,1881,timber merchant,41015,41020,TIMBER MERCHANTS WOOD DEALERS,Working Proprietor (Wholesale Trade),,timber merchant,retail_trade,0.9,False,acceptable_quality,[],False,,"[[41025, np.float32(0.53210926), 'Working Proprietor (Wholesale or Retail Trade)']]",,,
Berkshire,Female,181,hand field,7,1881,field hand,62110,62105,"AGRICULTURAL LABOURER, FARM SERVANT--NOT OTHERWISE DISTINGUISHED","Farm-Worker, General",,hand field,other,0.8496787601654118,False,acceptable_quality,[],False,,"[[74990, np.float32(0.6942518), 'Other Chemical Processors and Related Workers']]",,,
Berkshire,Male,139,kennelman,2,1881,kennelman,62460,62460,"HORSEKEEPER, GROOM, STABLEMAN (NOT DOMESTIC)",Horse Worker,simple,kennelman,other,0.9,False,acceptable_quality,[],False,,"[[62460, np.float32(0.46378514), 'Horse Worker']]",,,
Berkshire,Male,999,berks,2,1881,berks,-1,0,,,,berks,other,0.9,False,acceptable_quality,[],False,,"[[31090, np.float32(0.23078606), 'Government Executive Officials Not Elsewhere Classified'], [64990, np.float32(0.5819603), 'Other Fishermen, Hunters and Related Workers']]",,,
Berkshire,Female,84,mothers help dom servant,1,1881,mothers help dom servant,54020,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,,mothers help dom servant,domestic_service,0.9,False,acceptable_quality,[],False,,"[[54020, np.float32(0.9065596), 'House Servant']]",,,
Berkshire,Female,124,agent for sutton co parcel delivery,1,1881,agent for sutton  co parcel delivery,44120,44120,INSURANCE AGENTS,Insurance Salesman,complex,agent for sutton co parcel delivery,professional_clerical,0.8925696989392969,False,acceptable_quality,[],False,,"[[44120, np.float32(0.963479), 'Insurance Salesman']]",,,
Berkshire,Female,661,glove gaiter maker,1,1881,glove  gaiter maker,79400,79475,GLOVE MANUFACTURE,"Glove Cutter, Leather or other material",,glove gaiter maker,other,0.8856008005232721,False,acceptable_quality,[],False,,"[[79990, np.float32(0.25069767), 'Other Tailors, Dressmakers, Sewers, Upholsterers and Related Workers'], [80390, np.float32(0.4666695), 'Other Leather Goods Makers'], [94990, np.float32(0.31857726), 'Other Production and Related Workers Not Elsewhere Classified']]",,,
Berkshire,Female,791,farm bailiff daughter,1,1881,farm bailiff dau,99999,99999,CHILDREN RELATIVES VISITORS AT HOME,Unspecified worktitle or several titles,moderate,farm bailiff daughter,family_dependent,0.821939049500128,False,acceptable_quality,[],False,,"[[59990, np.float32(0.78224766), 'Other Service Workers Not Elsewhere Classified']]",,,
Berkshire,Male,28,rector of pangbourne,1,1881,rector of pangbourne,14120,14120,"CLERGYMAN OF THE ESTABLISHED CHURCH  (CHURCH OF ENGLAND IN ENGLAND AND WALES, CHURCH OF SCOTLAND IN",Minister of Religion,,rector of pangbourne,other,0.54,True,unchanged_with_some_invalid_words,['pangbourne'],False,rector of pangbourne,"[[14120, np.float32(0.9969375), 'Minister of Religion']]",,,
Berkshire,Male,28,vicar of wantage,1,1881,vicar of wantage,14120,14120,"CLERGYMAN OF THE ESTABLISHED CHURCH  (CHURCH OF ENGLAND IN ENGLAND AND WALES, CHURCH OF SCOTLAND IN",Minister of Religion,moderate,vicar of wantage,other,0.9,False,acceptable_quality,[],False,,"[[14120, np.float32(0.99810034), 'Minister of Religion']]",,,
Berkshire,Male,173,farmer of acres employing laborers,1,1881,farmer of  acres employing  laborers,61110,61110,"FARMER, GRAZIER",General Farmer,,farmer of acres employing laborers,agricultural,0.8847599748819491,False,acceptable_quality,[],False,,"[[61110, np.float32(0.9982022), 'General Farmer']]",,,
Berkshire,Male,766,engine driver,1,1881,engine driver keeper,96900,96910,"ENGINE DRIVERS, STOKERS, FIREMEN (NOT RAILWAY, MARINE, OR AGRICULTURAL)","Stationary Engine Operator, General",,engine driver,transport_communication,0.6862204634097738,False,acceptable_quality,[],False,,"[[45190, np.float32(0.6597176), 'Other Salesmen, Shop Assistants and Demonstrators']]",,,
Brecknockshire,Male,173,farmer domestic servant indoor,2,1881,farmer serv indoor,61110,61110,"FARMER, GRAZIER",General Farmer,,farmer domestic servant indoor,agricultural,0.6249416377294327,False,acceptable_quality,[],False,,"[[54020, np.float32(0.9973314), 'House Servant']]",,,
Brecknockshire,Male,409,apprentice carpenter,2,1881,apprentice carpenter,95410,95420,"CARPENTER, JOINER",Construction Joiner,,apprentice carpenter,building_construction,0.9,False,acceptable_quality,[],False,,[],,,
Brecknockshire,Male,173,farmer acreage not known,1,1881,farmer acreage nk,61110,61110,"FARMER, GRAZIER",General Farmer,moderate,farmer acreage not known,agricultural,0.8267633321977198,False,acceptable_quality,[],False,,"[[54090, np.float32(0.2729898), 'Other Maids and Related Housekeeping Service Workers'], [61110, np.float32(0.69026726), 'General Farmer']]",,,
Brecknockshire,Male,173,farmer of acres employing agricultural labourer,1,1881,farmer of  acres employing  ag lab,61110,61110,"FARMER, GRAZIER",General Farmer,,farmer of acres employing agricultural labourer,agricultural,0.7153476283864778,False,acceptable_quality,[],False,,"[[61110, np.float32(0.99254155), 'General Farmer']]",,,
Brecknockshire,Male,417,mason tiler plasterer employing man,1,1881,mason tiler  plasterer employing  man,95140,95510,PLASTERER,"Plaster, General",,mason tiler plasterer employing man,building_construction,0.8851923148712777,False,acceptable_quality,[],False,,"[[61110, np.float32(0.67044324), 'General Farmer']]",,,
Buckinghamshire,Female,657,dressmaker,2,1881,dress mkr,79130,79140,DRESSMAKERS,Dressmaker,moderate,dressmaker,clothing_footwear,0.9844937371709676,False,acceptable_quality,[],False,,"[[54090, np.float32(0.6155741), 'Other Maids and Related Housekeeping Service Workers']]",,,
Buckinghamshire,Female,84,domestic servant,1,1881,domestic servant gen,54020,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,,domestic servant,domestic_service,0.7644062492211338,False,acceptable_quality,[],False,,"[[54020, np.float32(0.9929021), 'House Servant']]",,,
Buckinghamshire,Female,788,blacksmith wife,1,1881,blacksmith journeyman wife,99999,99999,WIVES AND OTHERS ENGAGED IN (OWN) HOUSEHOLD DUTIES,Unspecified worktitle or several titles,,blacksmith wife,family_dependent,0.629819522125016,False,acceptable_quality,[],False,,"[[14120, np.float32(0.58468467), 'Minister of Religion']]",,,
Buckinghamshire,Male,65,retired civil engineer,1,1881,retired civil engineer,2200,2290,CIVIL ENGINEERS,Other Civil Engineers,,retired civil engineer,unemployed_seeking,0.9,False,acceptable_quality,[],False,,[],,,
Buckinghamshire,Male,84,valet dom,1,1881,valet dom,54020,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,moderate,valet dom,other,0.9,False,acceptable_quality,[],False,,"[[54020, np.float32(0.8684807), 'House Servant']]",,,
Buckinghamshire,Male,405,master builder employs men,1,1881,master builder employs  men,21230,95910,BUILDERS,"Housebuilder, General",,master builder employs men,building_construction,0.8900100584126297,False,acceptable_quality,[],False,,"[[61110, np.float32(0.4521347), 'General Farmer'], [94990, np.float32(0.28332034), 'Other Production and Related Workers Not Elsewhere Classified']]",,,
Cambridgeshire,Female,797,unemployed,60,1881,unemployed,99999,99999,"NO SPECIFIED OCCUPATION - VAGRANTS, UNEMPLOYED",Unspecified worktitle or several titles,simple,unemployed,unemployed_seeking,0.9,False,acceptable_quality,[],False,,"[[94990, np.float32(0.76527214), 'Other Production and Related Workers Not Elsewhere Classified']]",,,
Cambridgeshire,Male,653,retired tailor,10,1881,retired tailor,79120,79100,TAILORS (NOT MERCHANTS) - DEFAULT,"Tailor, Specialisation Unknown",,retired tailor,unemployed_seeking,0.9,False,acceptable_quality,[],False,,[],,,
Cambridgeshire,Male,181,agricultural labourer,2,1881,farm labourer out of employ,62110,62105,"AGRICULTURAL LABOURER, FARM SERVANT--NOT OTHERWISE DISTINGUISHED","Farm-Worker, General",,agricultural labourer,agricultural,0.4295511188341281,True,low_confidence,[],False,agricultural labourer,[],,,
Cambridgeshire,Female,181,farm servant,1,1881,farmers servant,62110,62105,"AGRICULTURAL LABOURER, FARM SERVANT--NOT OTHERWISE DISTINGUISHED","Farm-Worker, General",,farm servant,agricultural,0.6928055808537419,False,acceptable_quality,[],False,,"[[54020, np.float32(0.3036232), 'House Servant'], [62460, np.float32(0.33065206), 'Horse Worker']]",,,
Cambridgeshire,Female,181,housekeeper,1,1881,farmhouse keeper,62110,62105,"AGRICULTURAL LABOURER, FARM SERVANT--NOT OTHERWISE DISTINGUISHED","Farm-Worker, General",,housekeeper,domestic_service,0.710860950680556,False,acceptable_quality,[],False,,"[[54090, np.float32(0.82885987), 'Other Maids and Related Housekeeping Service Workers']]",,,
Cambridgeshire,Male,136,horsedealer,1,1881,horsedealer,41010,62460,"HORSE PROPRIETOR, BREEDER, DEALER",Horse Worker,simple,horsedealer,other,0.27,True,unchanged_with_many_invalid_words,['horsedealer'],False,horsedealer,"[[41025, np.float32(0.2733069), 'Working Proprietor (Wholesale or Retail Trade)'], [94990, np.float32(0.3543589), 'Other Production and Related Workers Not Elsewhere Classified']]",,,
Cambridgeshire,Male,173,stonemason builder emp men boys,1,1881,stonemason  blder emp  men   boys,61110,61110,"FARMER, GRAZIER",General Farmer,complex,stonemason blder emp men boys,building_construction,0.6737909611031686,True,modification_poor_result,"['blder', 'emp']",False,stonemason blder emp men boys,"[[61110, np.float32(0.9242501), 'General Farmer']]",,,
Cambridgeshire,Male,179,agricultural labourer,1,1881,farm labourer stockman,62420,62420,"AGRICULTURAL LABOURER, FARM SERVANT--DISTINGUISHED AS IN CHARGE OF CATTLE",Beef Cattle Farm Worker,,agricultural labourer,agricultural,0.5114052127767339,False,acceptable_quality,[],False,,[],,,
Cambridgeshire,Male,414,wood stone carver mason,1,1881,wood  stone carver mason,95110,95140,MASON,Stonemason (Construction),,wood stone carver mason,building_construction,0.8887140987146643,False,acceptable_quality,[],False,,"[[16120, np.float32(0.9850855), 'Sculptor']]",,,
Cambridgeshire,Male,628,boy linen draper empg men,1,1881,linen draper empg  men  boy,41010,41025,DRAPERS LINEN DRAPERS MERCERS,Working Proprietor (Wholesale or Retail Trade),,boy linen draper empg men,retail_trade,0.8692397144847357,False,acceptable_quality,[],False,,"[[75600, np.float32(0.48222905), 'Bleachers, Dyers and Textile Product Finishers']]",,,
Cardiganshire,Male,795,child,32,1881,child,99999,99999,NO SPECIFIED OCCUPATION - CHILDREN,Unspecified worktitle or several titles,simple,child,other,0.9,False,acceptable_quality,[],False,,"[[94990, np.float32(0.529646), 'Other Production and Related Workers Not Elsewhere Classified']]",,,
Cardiganshire,Male,774,pensioner naval,4,1881,naval pensioner,58410,99999,NAVY PENSIONERS,Unspecified worktitle or several titles,,pensioner naval,unemployed_seeking,0.8617904666745018,False,acceptable_quality,[],False,,"[[37040, np.float32(0.6485728), 'Messenger'], [98130, np.float32(0.2903641), 'Able Seaman']]",,,
Cardiganshire,Female,108,domestic servant not in employ,1,1881,serv not in employ,54010,54010,SERVANTS - UNDEFINED (NON-RESIDENT),"Domestic Servant, General",,domestic servant not in employ,domestic_service,0.6400725370621652,False,acceptable_quality,[],False,,"[[54020, np.float32(0.96434075), 'House Servant']]",,,
Cardiganshire,Female,788,supervisors wife,1,1881,supervisors wife,99999,99999,WIVES AND OTHERS ENGAGED IN (OWN) HOUSEHOLD DUTIES,Unspecified worktitle or several titles,,supervisors wife,family_dependent,0.9,False,acceptable_quality,[],False,,"[[14120, np.float32(0.5942566), 'Minister of Religion']]",,,
Cardiganshire,Male,181,farmer work on farm agricultural labourer,1,1881,farmer work on farm ag lab,62110,62105,"AGRICULTURAL LABOURER, FARM SERVANT--NOT OTHERWISE DISTINGUISHED","Farm-Worker, General",,farmer work on farm agricultural labourer,agricultural,0.6638211680213328,False,acceptable_quality,[],False,,"[[62460, np.float32(0.9873804), 'Horse Worker']]",,,
Cardiganshire,Male,349,apprentice iron manufacture,1,1881,iron manuf apprentice,87530,87450,SHIPWRIGHTS - METAL SHIPS,Metal Shipwright,,apprentice iron manufacture,metalwork_engineering,0.8476856860040931,False,acceptable_quality,[],False,,"[[72000, np.float32(0.94832873), 'Metal Processor, Specialisation Unknown']]",,,
Cardiganshire,Male,665,clog maker wooden shoe,1,1881,clog maker wooden shoe,80100,80200,"PATTEN, CLOG MAKERS","Shoe Worker, Specialisation Unknown",,clog maker wooden shoe,other,0.9,False,acceptable_quality,[],False,,"[[81990, np.float32(0.7912398), 'Other Cabinetmakers and Related Woodworkers']]",,,
Carmarthenshire,Male,246,shearer tinman,2,1881,shearer tin,72200,72200,TINPLATE  MANUFACTURE,"Metal RollingMill Worker, Specialisation Unknown",,shearer tinman,metalwork_engineering,0.7047596507732184,False,acceptable_quality,[],False,,"[[72200, np.float32(0.56914485), 'Metal RollingMill Worker, Specialisation Unknown'], [87340, np.float32(0.4047052), 'Tinsmith']]",,,
Carmarthenshire,Male,246,furnaceman in tinman works pw,1,1881,furnaceman in tin works pw,72200,72200,TINPLATE  MANUFACTURE,"Metal RollingMill Worker, Specialisation Unknown",,furnaceman in tinman works pw,metalwork_engineering,0.8200078202313964,False,acceptable_quality,[],False,,"[[72200, np.float32(0.97307193), 'Metal RollingMill Worker, Specialisation Unknown']]",,,
Carmarthenshire,Male,628,apprentice draper,1,1881,drapers apprentice,41010,41025,DRAPERS LINEN DRAPERS MERCERS,Working Proprietor (Wholesale or Retail Trade),,apprentice draper,retail_trade,0.7218412481193955,False,acceptable_quality,[],False,,"[[94990, np.float32(0.71322525), 'Other Production and Related Workers Not Elsewhere Classified']]",,,
Carnarvonshire,Female,84,domestic servant,2,1881,waitress domestic servant,54020,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,,domestic servant,domestic_service,0.7058669221713102,False,acceptable_quality,[],False,,"[[54020, np.float32(0.9692507), 'House Servant']]",,,
Carnarvonshire,Male,713,licensed victualler,2,1881,licensed victualer,51020,51050,"INNKEEPERS, HOTEL KEEPERS AND PUBLICANS","Working Proprietor  (Cafe, Bar and Snack Bar)",moderate,licensed victualler,food_drink,0.7692433572808712,False,acceptable_quality,[],False,,"[[51020, np.float32(0.9694903), 'Working Proprietor (Hotel and Restaurant)']]",,,
Carnarvonshire,Female,789,labourer wife,1,1881,leabourers wife,99999,99999,WIVES ASSISTING GENERALLY IN THEIR HUSBANDS OCCUPATIONS (WIFE OF à),Unspecified worktitle or several titles,,labourer wife,family_dependent,0.8973337051371005,False,acceptable_quality,[],False,,"[[14120, np.float32(0.23740879), 'Minister of Religion']]",,,
Carnarvonshire,Male,12,farmer rel officer reg of b d,1,1881,farmers rel officer  reg of b d,31090,31090,POOR LAW SERVICE,Government Executive Officials Not Elsewhere Classified,,farmer rel officer reg of b d,agricultural,0.8230796799340209,False,acceptable_quality,[],False,,"[[31090, np.float32(0.9344965), 'Government Executive Officials Not Elsewhere Classified']]",,,
Carnarvonshire,Male,173,retired farmer and seaman,1,1881,farmer and retired seaman,61110,61110,"FARMER, GRAZIER",General Farmer,,retired farmer and seaman,unemployed_seeking,0.7835145212556897,False,multiple_occupation_excluded_from_llm_check,[],True,,"[[61110, np.float32(0.984937), 'General Farmer'], [98135, np.float32(0.9690495), 'Seaman, Able or Ordinary']]","[[61110, np.float32(0.6987443), 'General Farmer']]; [[98130, np.float32(0.5757732), 'Able Seaman']]",2.0,"[{'hisco': ""[[61110, np.float32(0.6987443), 'General Farmer']]"", 'split_index': 0, 'occupation': 'farmer'}, {'hisco': ""[[98130, np.float32(0.5757732), 'Able Seaman']]"", 'split_index': 1, 'occupation': 'seaman'}]"
Carnarvonshire,Male,262,blacksmith asst servant,1,1881,blacksmith asst servent,83120,83110,BLACKSMITHS,"Blacksmith, General",,blacksmith asst servant,domestic_service,0.9843780117049392,True,modification_poor_result,['asst'],False,blacksmith asst servant,"[[54020, np.float32(0.5140645), 'House Servant']]",,,
Carnarvonshire,Male,682,pork butcher employing men,1,1881,pork butcher employing  men,77310,77310,BUTCHERS AND MEAT SALESMEN,"Butcher, General",,pork butcher employing men,food_drink,0.8900100584126297,False,acceptable_quality,[],False,,"[[77310, np.float32(0.9552837), 'Butcher, General']]",,,
Carnarvonshire,Male,766,engine stoker at a slate quarry,1,1881,engine stoker at a slate quarry,96900,96910,"ENGINE DRIVERS, STOKERS, FIREMEN (NOT RAILWAY, MARINE, OR AGRICULTURAL)","Stationary Engine Operator, General",,engine stoker at a slate quarry,transport_communication,0.7200000000000001,False,unchanged_with_few_invalid_words,['a'],False,,"[[98330, np.float32(0.8121027), 'Railway SteamEngine Fireman']]",,,
Cheshire,Male,181,farm servant,42,1881,farm servant in door,62110,62120,"AGRICULTURAL LABOURER, FARM SERVANT--NOT OTHERWISE DISTINGUISHED",Farm Servant,,farm servant,agricultural,0.6229219318224348,False,acceptable_quality,[],False,,"[[62460, np.float32(0.65442425), 'Horse Worker']]",,,
Cheshire,Female,789,coal labourer wife,18,1881,salt lab wife,99999,99999,WIVES ASSISTING GENERALLY IN THEIR HUSBANDS OCCUPATIONS (WIFE OF à),Unspecified worktitle or several titles,,coal labourer wife,family_dependent,0.5172837300321276,False,acceptable_quality,[],False,,"[[14120, np.float32(0.67951316), 'Minister of Religion'], [98590, np.float32(0.22142135), 'Other MotorVehicle Drivers']]",,,
Cheshire,Male,488,labourer in ry works,17,1881,lab in ry works,74920,74220,MANURE MANUFACTURE BONE BOILERS,Cooker (Chemical and Related Processes),complex,labourer in ry works,general_labour,0.7394465771058748,False,acceptable_quality,[],False,,[],,,
Cheshire,Male,713,house proprietor,15,1881,hotel proprietor,51020,51020,"INNKEEPERS, HOTEL KEEPERS AND PUBLICANS",Working Proprietor (Hotel and Restaurant),moderate,house proprietor,retail_trade,0.7103260286361547,False,acceptable_quality,[],False,,"[[53100, np.float32(0.6996362), 'Cook, Specialisation Unknown']]",,,
Cheshire,Male,713,retired innkeeper,8,1881,retired innkeeper,51020,51050,"INNKEEPERS, HOTEL KEEPERS AND PUBLICANS","Working Proprietor  (Cafe, Bar and Snack Bar)",moderate,retired innkeeper,unemployed_seeking,0.9,False,acceptable_quality,[],False,,"[[51020, np.float32(0.9585103), 'Working Proprietor (Hotel and Restaurant)']]",,,
Cheshire,Male,41,articled clerk solicitors,3,1881,articled clerk solicitors,12900,12310,OTHERS CONNECTED WITH LAW,Notary,,articled clerk solicitors,professional_clerical,0.9,False,acceptable_quality,[],False,,"[[39340, np.float32(0.99446386), 'Legal Clerk']]",,,
Cheshire,Female,103,formerly waitress,2,1881,formerly waitress,54010,54090,"DAY GIRLS, DAY SERVANTS (HOTELS LODGING EATING HOUSES)",Other Maids and Related Housekeeping Service Workers,,formerly waitress,other,0.9,False,acceptable_quality,[],False,,"[[94990, np.float32(0.8842111), 'Other Production and Related Workers Not Elsewhere Classified']]",,,
Cheshire,Male,173,farmer acres,2,1881,farmer  acres,61110,61110,"FARMER, GRAZIER",General Farmer,,farmer acres,agricultural,0.8784752403479763,False,acceptable_quality,[],False,,"[[61110, np.float32(0.94350535), 'General Farmer']]",,,
Cheshire,Male,746,taxidermist,2,1881,taxidermist,94920,94920,"ANIMAL, BIRD PRESERVERS TAXIDERMISTS",Taxidermist,simple,taxidermist,other,0.9,False,acceptable_quality,[],False,,"[[94920, np.float32(0.94612646), 'Taxidermist']]",,,
Cheshire,Female,400,assistant in shop coal dealer,1,1881,assistant in shop coal dealer,41010,41030,TOY DEALERS,Working Proprietor (Retail Trade),,assistant in shop coal dealer,retail_trade,0.9,False,acceptable_quality,[],False,,"[[41025, np.float32(0.56246144), 'Working Proprietor (Wholesale or Retail Trade)'], [94990, np.float32(0.413137), 'Other Production and Related Workers Not Elsewhere Classified']]",,,
Cheshire,Female,440,retired upholsterer,1,1881,retired upholsterer,79620,79620,UPHOLSTERER,Furniture Upholsterer,,retired upholsterer,unemployed_seeking,0.9,False,acceptable_quality,[],False,,"[[79620, np.float32(0.91678816), 'Furniture Upholsterer']]",,,
Cheshire,Female,789,factory overlookers wife,1,1881,factory overlookers wife,99999,99999,WIVES ASSISTING GENERALLY IN THEIR HUSBANDS OCCUPATIONS (WIFE OF à),Unspecified worktitle or several titles,,factory overlookers wife,family_dependent,0.9,False,acceptable_quality,[],False,,[],,,
Cheshire,Male,111,ales porter merchant,1,1881,ales porter merchant,41010,41025,MERCHANT -- COMMODITY UNDEFINED,Working Proprietor (Wholesale or Retail Trade),,ales porter merchant,transport_communication,0.9,False,acceptable_quality,[],False,,"[[59990, np.float32(0.3765101), 'Other Service Workers Not Elsewhere Classified']]",,,
Cheshire,Male,121,cashier common law clerk,1,1881,cashier  comm l clerk,33130,33160,"BANK SERVICE, BANK OFFICIALS AND CLERKS",Cash Desk Cashier,,cashier comm l clerk,professional_clerical,0.6899135925778249,True,modification_poor_result,"['comm', 'l']",False,cashier comm l clerk,"[[39340, np.float32(0.9602177), 'Legal Clerk']]",,,
Cheshire,Male,154,working tramway stables,1,1881,working tramway stables,98900,54090,TRAMWAY SERVICE ---OTHERS,Other Maids and Related Housekeeping Service Workers,moderate,working tramway stables,other,0.9,False,acceptable_quality,[],False,,"[[98540, np.float32(0.5965046), 'Motor Bus Driver']]",,,
Cheshire,Male,173,farm bailiffe acres employ men,1,1881,farm bailiffe  acres employ  men,61110,61110,"FARMER, GRAZIER",General Farmer,,farm bailiffe acres employ men,agricultural,0.8827447512739507,False,acceptable_quality,[],False,,"[[61110, np.float32(0.5764958), 'General Farmer']]",,,
