County,Sex,Occode,final_result,Count,Year,Occupation_String,HISCO_x,HISCO_y,Occode_Desc,HISCO_Desc,complexity,standardized,category,confidence,needs_llm_check,confidence_reason,invalid_words,is_multiple_occupation,standardized_llm
BERKSHIRE,Male,669,mole stick maker,1,1861,mole stick maker,79930,79930,UMBRELLA PARASOL AND STICK MAKERS,Umbrella Maker,,mole stick maker,other,0.9,False,acceptable_quality,[],False,
BRECKNOCKSHIRE,Male,121,bankers clerk,4,1861,bankers clerk,33130,33940,"BANK SERVICE, BANK OFFICIALS AND CLERKS",Finance Clerk,,bankers clerk,professional_clerical,0.9,False,acceptable_quality,[],False,
BRECKNOCKSHIRE,Female,54,instructeress,2,1861,instructeress,13990,13990,SCHOOL SERVICE (PUPIL TEACHERS),Other Teachers,,instructeress,other,0.27,True,unchanged_with_many_invalid_words,['instructeress'],False,instructeress
BRECKNOCKSHIRE,Female,175,farmer of acres widow,1,1861,farmers widow of  acres,62113,62110,"FARMER'S, GRAZIER'S--SON, DAUGHTER, OR OTHER RELATIVE ASSISTING IN THE WORK OF THE FARM","FarmHelper, General",,farmer of acres widow,family_dependent,0.7242144475924472,False,acceptable_quality,[],False,
BRECKNOCKSHIRE,Female,207,iron miner,1,1861,iron stone miner,71120,71110,"IRON--MINER, QUARRIER","Quarryman, General",moderate,iron miner,mining_quarrying,0.6630811678518703,False,acceptable_quality,[],False,
BRECKNOCKSHIRE,Male,173,farmer of acres employing man,1,1861,farmer of  acres employing  man,61110,61110,"FARMER, GRAZIER",General Farmer,,farmer of acres employing man,agricultural,0.8821548176886764,False,acceptable_quality,[],False,
BRECKNOCKSHIRE,Male,788,coal miner wife,1,1861,coal miner wife,99999,99999,WIVES AND OTHERS ENGAGED IN (OWN) HOUSEHOLD DUTIES,Unspecified worktitle or several titles,moderate,coal miner wife,family_dependent,0.9,False,acceptable_quality,[],False,
BRITISH SHIPS IN HOME PORTS,Male,159,engineers servant,65,1861,engineers servant,52030,54060,"MERCHANT SERVICE: SEAMAN--COOKS, STEWARDS, AND OTHERS (SUBSIDIARY SERVICE)",Ship's Steward,,engineers servant,domestic_service,0.9,False,acceptable_quality,[],False,
BUCKINGHAMSHIRE,Male,657,dressmaker,11,1861,dressmaker,79130,79140,DRESSMAKERS,Dressmaker,simple,dressmaker,clothing_footwear,0.9,False,acceptable_quality,[],False,
BUCKINGHAMSHIRE,Male,449,caner,6,1861,caner,41010,41020,WILLOW CANE AND RUSH DEALERS,Working Proprietor (Wholesale Trade),,caner,other,0.9,False,acceptable_quality,[],False,
BUCKINGHAMSHIRE,Female,601,knitster,1,1861,knitster,75400,75500,KNITTER (UNDEFINED),"Knitter, Specialisation Unknown",simple,knitster,other,0.27,True,unchanged_with_many_invalid_words,['knitster'],False,knitster
BUCKINGHAMSHIRE,Female,789,domestic brewers wife,1,1861,domestic brewers wife,99999,99999,WIVES ASSISTING GENERALLY IN THEIR HUSBANDS OCCUPATIONS (WIFE OF à),Unspecified worktitle or several titles,,domestic brewers wife,family_dependent,0.9,False,acceptable_quality,[],False,
BUCKINGHAMSHIRE,Male,12,relieving officer registrar,1,1861,relieving officer  registrar,31090,20210,POOR LAW SERVICE,Government Administrator,,relieving officer registrar,other,0.8903783418750858,False,acceptable_quality,[],False,
BUCKINGHAMSHIRE,Male,56,author,1,1861,author,15100,15950,AUTHORS EDITORS JOURNALISTS AND CREATIVE ADVERTISING WORKERS,Advertising Copywriter,simple,author,other,0.9,False,acceptable_quality,[],False,
BUCKINGHAMSHIRE,Male,158,marine store,1,1861,marine store,98200,98290,MERCHANT SERVICE; SEAMAN--ENGINEERING DEPARTMENT,Other Ships’ Engine-Room Ratings,,marine store,other,0.9,False,acceptable_quality,[],False,
BUCKINGHAMSHIRE,Male,686,miller,1,1861,miller man,77100,77120,CORN MILLERS,Grain Miller,moderate,miller,food_drink,0.6168729999942553,False,acceptable_quality,[],False,
BUCKINGHAMSHIRE,Male,713,inn keeper and butcher,1,1861,inn keeper and butcher,51020,51050,"INNKEEPERS, HOTEL KEEPERS AND PUBLICANS","Working Proprietor  (Cafe, Bar and Snack Bar)",,inn keeper and butcher,food_drink,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,
BUCKINGHAMSHIRE,Male,797,pauper labourer,1,1861,labourer pauper,99999,99999,"NO SPECIFIED OCCUPATION - VAGRANTS, UNEMPLOYED",Unspecified worktitle or several titles,moderate,pauper labourer,general_labour,0.858270921590454,False,acceptable_quality,[],False,
CAMBRIDGESHIRE,Male,101,cook,32,1861,cook,53101,53140,COOKS (DOMESTIC: NON-RESIDENT),"Cook, Private Service",,cook,domestic_service,0.9,False,acceptable_quality,[],False,
CAMBRIDGESHIRE,Female,712,late lodging house keeper,2,1861,late lodging house keeper,51040,51040,LODGING AND BOARDING-HOUSE KEEPERS,Working Proprietor (Guest House),,late lodging house keeper,unemployed_seeking,0.9,False,acceptable_quality,[],False,
CAMBRIDGESHIRE,Female,46,pharmacy nurse,1,1861,pharmacy nurse,7110,7110,NURSES (MEDICAL NOT DOMESTIC) INCLUDING POOR LAW NURSES,"Professional Nurse, General",,pharmacy nurse,domestic_service,0.9,False,acceptable_quality,[],False,
CAMBRIDGESHIRE,Female,84,college servant,1,1861,gollege servant,54020,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,,gollege servant,domestic_service,0.54,True,unchanged_with_some_invalid_words,['gollege'],False,gollege servant
CAMBRIDGESHIRE,Female,797,omitted in no module,1,1861,omitted in no  module,99999,99999,"NO SPECIFIED OCCUPATION - VAGRANTS, UNEMPLOYED",Unspecified worktitle or several titles,,omitted in no module,other,0.8870317618857749,False,acceptable_quality,[],False,
CAMBRIDGESHIRE,Male,159,late land steward,1,1861,late land steward,52030,54060,"MERCHANT SERVICE: SEAMAN--COOKS, STEWARDS, AND OTHERS (SUBSIDIARY SERVICE)",Ship's Steward,,late land steward,unemployed_seeking,0.9,False,acceptable_quality,[],False,
CAMBRIDGESHIRE,Male,173,farmer acres man boys,1,1861,farmer  acres  man  boys,61110,61110,"FARMER, GRAZIER",General Farmer,,farmer acres man boys,agricultural,0.8633666236833398,False,acceptable_quality,[],False,
CAMBRIDGESHIRE,Male,173,publican farmer of acres,1,1861,publican  farmer of  acres,61110,61110,"FARMER, GRAZIER",General Farmer,,publican farmer of acres,agricultural,0.8784752403479763,False,acceptable_quality,[],False,
CAMBRIDGESHIRE,Male,181,agricultural labourer,1,1861,agricultural labourer past work,62110,62105,"AGRICULTURAL LABOURER, FARM SERVANT--NOT OTHERWISE DISTINGUISHED","Farm-Worker, General",,agricultural labourer,agricultural,0.6503950845019655,False,acceptable_quality,[],False,
CAMBRIDGESHIRE,Male,283,assistant hasler employing,1,1861,hasler employing  assistant,3200,3200,TECHNICIANS (UNSPECIFIED),"Technician, Specialisation Unknown",,assistant hasler employing,other,0.6659207029470787,True,modification_poor_result,['hasler'],False,assistant hasler employing
CAMBRIDGESHIRE,Male,405,victualler and door builder,1,1861,victualler and door builder,21230,95910,BUILDERS,"Housebuilder, General",,victualler and door builder,building_construction,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,
CAMBRIDGESHIRE,Male,628,linen and woollen draper,1,1861,linen and woollen draper,41010,41025,DRAPERS LINEN DRAPERS MERCERS,Working Proprietor (Wholesale or Retail Trade),complex,linen and woollen draper,retail_trade,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,
CAMBRIDGESHIRE,Male,663,boot maker employing men woman,1,1861,boot maker employing  men  woman,80100,80110,SHOE AND BOOT MAKERS (AND REPAIRERS),"Shoemaker, General",,boot maker employing men woman,clothing_footwear,0.8827447512739507,False,acceptable_quality,[],False,
CAMBRIDGESHIRE,Male,687,flour dealer,1,1861,flour seller,41010,41020,CORN FLOUR AND SEED MERCHANTS DEALERS,Working Proprietor (Wholesale Trade),,flour dealer,food_drink,0.666192910476876,False,acceptable_quality,[],False,
CARDIGANSHIRE,Male,181,farm servant,510,1861,farm servant,62110,62105,"AGRICULTURAL LABOURER, FARM SERVANT--NOT OTHERWISE DISTINGUISHED","Farm-Worker, General",,farm servant,agricultural,0.9,False,acceptable_quality,[],False,
CARDIGANSHIRE,Male,111,merchant,14,1861,merchant,41010,41025,MERCHANT -- COMMODITY UNDEFINED,Working Proprietor (Wholesale or Retail Trade),,merchant,food_drink,0.9,False,acceptable_quality,[],False,
CARDIGANSHIRE,Female,271,formarly agricultural labourer deceased,1,1861,formarly agricultural labourers deceased,83400,83410,METAL MACHINISTS (AGRICULTURAL MACHINE AND IMPLEMENT MAKING),"MachineTool Operator, General",,formarly agricultural labourer deceased,agricultural,0.8249474774041671,False,acceptable_quality,[],False,
CARDIGANSHIRE,Male,173,farmer acres bailiff farm,1,1861,farmer  acres  bailiff farm,61110,61110,"FARMER, GRAZIER",General Farmer,,farmer acres bailiff farm,agricultural,0.8793277529198686,False,acceptable_quality,[],False,
CARDIGANSHIRE,Male,655,master linen and woollen draper,1,1861,linen and woollen draper master,41010,41025,CLOTHIERS & OUTFITTERS (IE DEALERS AND MERCHANTS),Working Proprietor (Wholesale or Retail Trade),,master linen and woollen draper,retail_trade,0.7920633718083228,False,multiple_occupation_excluded_from_llm_check,[],True,
CARMARTHENSHIRE,Male,125,railway officer,9,1861,railway policeman,24100,22240,"RAILWAY OFFICIAL - INSPECTORS, SUPERVISORS, CLERK",Railway Transport Service Inspector,,railway officer,transport_communication,0.6732588118368087,False,acceptable_quality,[],False,
CARMARTHENSHIRE,Female,789,clogs a wooden thorn man wife,1,1861,clogs a wooden thorn man wife,99999,99999,WIVES ASSISTING GENERALLY IN THEIR HUSBANDS OCCUPATIONS (WIFE OF à),Unspecified worktitle or several titles,complex,clogs a wooden thorn man wife,family_dependent,0.7200000000000001,False,unchanged_with_few_invalid_words,['a'],False,
CARMARTHENSHIRE,Male,173,farmer of acres employing boys,1,1861,farmer of  acres employing  boys,61110,61110,"FARMER, GRAZIER",General Farmer,complex,farmer of acres employing boys,agricultural,0.8827447512739507,False,acceptable_quality,[],False,
CARMARTHENSHIRE,Male,173,holder of acres employing labourer,1,1861,holder of  acres employing  labourers,61110,61110,"FARMER, GRAZIER",General Farmer,,holder of acres employing labourer,general_labour,0.8028216176220141,False,acceptable_quality,[],False,
CARNARVONSHIRE,Female,795,parish officer daughter,2,1861,parish clerks daughter,99999,99999,NO SPECIFIED OCCUPATION - CHILDREN,Unspecified worktitle or several titles,,parish officer daughter,family_dependent,0.6844641233835108,False,acceptable_quality,[],False,
CARNARVONSHIRE,Male,181,servant on farm,2,1861,servant on farm,62110,62120,"AGRICULTURAL LABOURER, FARM SERVANT--NOT OTHERWISE DISTINGUISHED",Farm Servant,,servant on farm,domestic_service,0.9,False,acceptable_quality,[],False,
CARNARVONSHIRE,Female,73,brick maker wife,1,1861,brick maker wife,16150,16150,ENGRAVERS (ARTISTS) AND LITHOGRAPHIC ARTISTS,Engraver and Etcher (Artistic),,brick maker wife,family_dependent,0.9,False,acceptable_quality,[],False,
CARNARVONSHIRE,Female,101,formerly a domestic cook,1,1861,formerly a cook domestic,53101,53140,COOKS (DOMESTIC: NON-RESIDENT),"Cook, Private Service",complex,formerly a cook domestic,domestic_service,0.54,True,unchanged_with_some_invalid_words,['a'],False,formerly a cook domestic
CARNARVONSHIRE,Female,776,publican keeping a tavern,1,1861,publican keeping a tavern,99999,99999,RECEIVING OLD AGE PENSION (OCCUPATION OR FORMER OCCUPATION NOT STATED),Unspecified worktitle or several titles,,publican keeping a tavern,other,0.54,True,unchanged_with_some_invalid_words,['a'],False,publican keeping a tavern
CARNARVONSHIRE,Male,173,farmer of acres and joiner,1,1861,farmer of  acres and joiner,61110,61110,"FARMER, GRAZIER",General Farmer,,farmer of acres and joiner,agricultural,0.8010090525713668,False,multiple_occupation_excluded_from_llm_check,[],True,
CARNARVONSHIRE,Male,177,bailiff farm acres employing men,1,1861,bailiff farm  acres employing  men,61400,21230,FARM - BAILIFFS STEWARDS FOREMEN,Farm Manager,,bailiff farm acres employing men,other,0.883814854858187,False,acceptable_quality,[],False,
CHESHIRE,Female,772,locomotive engine drivers wife,4,1861,locomotive engine drivers wife,99999,99999,RETIRED (NOT ARMY OR NAVY),Unspecified worktitle or several titles,complex,locomotive engine drivers wife,family_dependent,0.9,False,acceptable_quality,[],False,
CHESHIRE,Female,999,drawing,2,1861,drawing,-1,0,,,simple,drawing,other,0.9,False,acceptable_quality,[],False,
CHESHIRE,Male,550,twister at cotton miller,2,1861,twister at cotton mill,75200,75250,COTTON & COTTON GOODS MANUFACTURE WINDING WARPING PROCESSES,Winder,,twister at cotton miller,food_drink,0.8207646159643179,False,acceptable_quality,[],False,
CHESHIRE,Female,112,stock exchange,1,1861,stock exchange,43010,43200,"BROKERS, FACTORS, COMMERCIAL AGENTS (NOT - MINE, QUARRY, INSURANCE)",Commercial Travellers and Manufacturers Agents,,stock exchange,other,0.9,False,acceptable_quality,[],False,
CHESHIRE,Female,617,maker up of prints,1,1861,maker up of prints,92800,92950,UNDEFINED TEXTILE PRINTERS,Textile Printer,,maker up of prints,other,0.9,False,acceptable_quality,[],False,
CHESHIRE,Female,787,silk and scholar,1,1861,silk and scholar,99999,99999,SCHOLARS ETC,Unspecified worktitle or several titles,,silk and scholar,other,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,
CHESHIRE,Male,2,clark in general carriers office,1,1861,clark in general carriers office,37020,37020,OTHER POST OFFICE OFFICERS AND CLERKS,Mail Sorting Clerk,,clark in general carriers office,transport_communication,0.9,False,acceptable_quality,[],False,
CHESHIRE,Male,41,apprentice over looker of,1,1861,over looker of apprentice,12900,12910,OTHERS CONNECTED WITH LAW,"Jurist (except Lawyer, Judge or Solicitor)",,apprentice over looker of,other,0.8571118847837225,False,acceptable_quality,[],False,
CHESHIRE,Male,62,agent on commission,1,1861,agent on commission,19990,19990,"OTHERS CONNECTED WITH LITERATURE, ETC - POLITICAL & ELECTION AGENTS","Other Professional, Technical and Related Workers Not Elsewhere Classified",moderate,agent on commission,professional_clerical,0.9,False,acceptable_quality,[],False,
CHESHIRE,Male,85,coachman and domestic servant,1,1861,coachman and domestic servant,98520,98620,DOMESTIC--COACHMAN,Animal-Drawn Vehicle Driver (Road),,coachman and domestic servant,domestic_service,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,
CHESHIRE,Male,94,hall keeper,1,1861,hall keeper,64990,64990,"PARK, LODGE, GATE, ETC.--KEEPER (NOT GOVERNMENT)","Other Fishermen, Hunters and Related Workers",,hall keeper,other,0.9,False,acceptable_quality,[],False,
CHESHIRE,Male,105,laundry service,1,1861,laundry service,56000,56010,"LAUNDRY WORKER: WASHER, IRONER, MANGLER, ETC. (NOT DOMESTIC)","Launderer,  General",,laundry service,other,0.9,False,acceptable_quality,[],False,
CHESHIRE,Male,119,clerk for auctioneer,1,1861,clerk for auctioneer,39310,30000,COMMERCIAL OR BUSINESS CLERKS,"Clerical or Related Worker, Specialisation Unknown",,clerk for auctioneer,professional_clerical,0.9,False,acceptable_quality,[],False,
CHESHIRE,Male,171,porter to grocer,1,1861,porter to grocer,37040,37040,"MESSENGER, PORTER, WATCHMAN (NOT RAILWAY OR GOVERNMENT)",Messenger,,porter to grocer,food_drink,0.9,False,acceptable_quality,[],False,
CHESHIRE,Male,173,upholsterer employing men boys women,1,1861,upholsterer employing  men  boys   women,61110,61110,"FARMER, GRAZIER",General Farmer,,upholsterer employing men boys women,crafts_trades,0.8719283038479123,False,acceptable_quality,[],False,
CHESHIRE,Male,177,farm bailiff,1,1861,farm bailiff of,61400,21230,FARM - BAILIFFS STEWARDS FOREMEN,Farm Manager,,farm bailiff,agricultural,0.756272416585006,False,acceptable_quality,[],False,
CHESHIRE,Male,177,farm bailiff of acres,1,1861,farm bailiff of  acres,61400,22520,FARM - BAILIFFS STEWARDS FOREMEN,Farm Supervisor,,farm bailiff of acres,agricultural,0.8876456332197843,False,acceptable_quality,[],False,
CHESHIRE,Male,365,master coachmaker,1,1861,master coach maker,81300,87370,"COACH, CARRIAGE--MAKER",Vehicle Sheet-Metal Worker,,master coachmaker,crafts_trades,0.6776318096834503,False,acceptable_quality,[],False,
CHESHIRE,Male,442,fitter and pattern maker,1,1861,fitter and pattern maker,83890,95420,HOUSE & SHOP FITTINGS MAKERS,Construction Joiner,complex,fitter and pattern maker,other,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,
CHESHIRE,Male,464,labourer for brick makers,1,1861,labourer for brick makers,89300,89242,"BRICK, PLAIN TILE, TERRA-COTTA--MAKER",Brick and Tile Moulder (Hand or Machine),,labourer for brick makers,building_construction,0.9,False,acceptable_quality,[],False,
CHESHIRE,Male,482,chemist,1,1861,chemist,41010,6710,CHEMISTS DRUGGISTS,Pharmacist,simple,chemist,manufacturing_other,0.9,False,acceptable_quality,[],False,
CHESHIRE,Male,550,hand cotton reeler,1,1861,cotton reeler hand,75200,75250,COTTON & COTTON GOODS MANUFACTURE WINDING WARPING PROCESSES,Winder,,hand cotton reeler,other,0.8749322520348942,False,acceptable_quality,[],False,
CHESHIRE,Male,579,silk factory manager,1,1861,silk factory manager,75000,75000,SILK WORKERS - UNDEFINED,"Spinners, Weavers, Knitters, Dyers and Related Workers, Specialisation Unknown",moderate,silk factory manager,professional_clerical,0.9,False,acceptable_quality,[],False,
CHESHIRE,Male,626,late royal dresser,1,1861,late royal dresser,75600,75600,FLAX LINEN FINISHERS,"Bleachers, Dyers and Textile Product Finishers",,late royal dresser,unemployed_seeking,0.9,False,acceptable_quality,[],False,
CHESHIRE,Male,769,barhouse apprentice,1,1861,barhouse apprentice,99150,99999,APPRENTICES,Unspecified worktitle or several titles,,apprentice barhouse,other,0.663447598649986,True,modification_poor_result,['barhouse'],False,apprentice barhouse
CORNWALL,Female,653,tailor,1007,1861,tailoress,79120,79100,TAILORS (NOT MERCHANTS) - DEFAULT,"Tailor, Specialisation Unknown",simple,tailor,clothing_footwear,0.711779749365688,False,acceptable_quality,[],False,
CORNWALL,Male,181,boy agricultural labourer,8,1861,agricultural labourer boy,62110,62120,"AGRICULTURAL LABOURER, FARM SERVANT--NOT OTHERWISE DISTINGUISHED",Farm Servant,,boy agricultural labourer,agricultural,0.8862506156095771,False,acceptable_quality,[],False,
CORNWALL,Female,88,innkeeper,5,1861,keeper,64990,64990,GAMEKEEPER,"Other Fishermen, Hunters and Related Workers",,innkeeper,food_drink,0.6911264231698849,False,acceptable_quality,[],False,
CORNWALL,Female,765,draper,2,1861,rauper,99130,99910,GENERAL LABOURERS,Labourer,simple,draper,retail_trade,0.956083885739102,False,acceptable_quality,[],False,
CORNWALL,Female,84,occupying house maid,1,1861,occupying house maid,54020,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,,occupying house maid,other,0.9,False,acceptable_quality,[],False,
CORNWALL,Female,208,draper labourer in a copper miner,1,1861,draper labourer in a copper miner,71120,71105,COPPER MINER,"Miner, General",,draper labourer in a copper miner,mining_quarrying,0.7200000000000001,False,unchanged_with_few_invalid_words,['a'],False,
CORNWALL,Female,789,leaseholders wife,1,1861,leaseholders wife,99999,99999,WIVES ASSISTING GENERALLY IN THEIR HUSBANDS OCCUPATIONS (WIFE OF à),Unspecified worktitle or several titles,,leaseholders wife,family_dependent,0.9,False,acceptable_quality,[],False,
CORNWALL,Female,791,china clay agents daughter,1,1861,china clay agents daughter,99999,99999,CHILDREN RELATIVES VISITORS AT HOME,Unspecified worktitle or several titles,,china clay agents daughter,family_dependent,0.9,False,acceptable_quality,[],False,
CORNWALL,Male,28,st miner axillary,1,1861,st miners axillary,14120,14120,"CLERGYMAN OF THE ESTABLISHED CHURCH  (CHURCH OF ENGLAND IN ENGLAND AND WALES, CHURCH OF SCOTLAND IN",Minister of Religion,moderate,st miner axillary,mining_quarrying,0.7969485563641379,False,acceptable_quality,[],False,
CORNWALL,Male,43,surgeon dentist,1,1861,surgeon dentist,6200,6420,DENTISTS AND DENTISTS ASSISTANTS,Dental Assistant,,surgeon dentist,professional_clerical,0.9,False,acceptable_quality,[],False,
CORNWALL,Male,121,agent to bank postmaster stationer,1,1861,agent to bank postmaster  stationer,33130,33160,"BANK SERVICE, BANK OFFICIALS AND CLERKS",Cash Desk Cashier,,agent to bank postmaster stationer,professional_clerical,0.8923519673347664,False,acceptable_quality,[],False,
CORNWALL,Male,173,boy farmer of acres employing,1,1861,farmer of  acres  boy employing,61110,61110,"FARMER, GRAZIER",General Farmer,complex,boy farmer of acres employing,agricultural,0.8668183327005032,False,acceptable_quality,[],False,
CORNWALL,Male,173,farmer acres and,1,1861,farmer  acres and,61110,61110,"FARMER, GRAZIER",General Farmer,,farmer acres and,agricultural,0.883814854858187,False,acceptable_quality,[],False,
CORNWALL,Male,173,farmer acres labourer,1,1861,farmer  acres  lab,61110,61110,"FARMER, GRAZIER",General Farmer,,farmer acres labourer,agricultural,0.743035782616031,False,acceptable_quality,[],False,
CORNWALL,Male,181,agricultural labourer,1,1861,servant agricultural labourer,62110,62120,"AGRICULTURAL LABOURER, FARM SERVANT--NOT OTHERWISE DISTINGUISHED",Farm Servant,,agricultural labourer,agricultural,0.7156005691285467,False,acceptable_quality,[],False,
CORNWALL,Male,181,formerly farmer servant,1,1861,formerly farmers servant,62110,62120,"AGRICULTURAL LABOURER, FARM SERVANT--NOT OTHERWISE DISTINGUISHED",Farm Servant,,formerly farmer servant,agricultural,0.8010048759928248,False,acceptable_quality,[],False,
CORNWALL,Male,220,bargeman owner of vessels,1,1861,bargeman owner of vessels,21140,21110,STONE QUARRY MINE OWNERS,General Manager,,bargeman owner of vessels,transport_communication,0.9,False,acceptable_quality,[],False,
CORNWALL,Male,663,journeyman boot and shoe maker,1,1861,boot  shoemaker journeyman,80100,80110,SHOE AND BOOT MAKERS (AND REPAIRERS),"Shoemaker, General",moderate,journeyman boot and shoe maker,clothing_footwear,0.7317884786228239,False,acceptable_quality,[],False,
CUMBERLAND,Female,84,servant,1214,1861,servant,54020,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,,servant,agricultural,0.9,False,acceptable_quality,[],False,
CUMBERLAND,Female,772,farmer daughter,4,1861,retired farmer daughter,99999,99999,RETIRED (NOT ARMY OR NAVY),Unspecified worktitle or several titles,,farmer daughter,family_dependent,0.7088808733055934,False,acceptable_quality,[],False,
CUMBERLAND,Female,46,late buck nurse,1,1861,late buck nurse,7110,7110,NURSES (MEDICAL NOT DOMESTIC) INCLUDING POOR LAW NURSES,"Professional Nurse, General",,late buck nurse,unemployed_seeking,0.9,False,acceptable_quality,[],False,
CUMBERLAND,Female,713,hotel,1,1861,hotel,51020,51050,"INNKEEPERS, HOTEL KEEPERS AND PUBLICANS","Working Proprietor  (Cafe, Bar and Snack Bar)",simple,hotel,other,0.9,False,acceptable_quality,[],False,
CUMBERLAND,Female,713,retired publican owner of house property,1,1861,retired publican owner of house property,51020,51020,"INNKEEPERS, HOTEL KEEPERS AND PUBLICANS",Working Proprietor (Hotel and Restaurant),,retired publican owner of house property,unemployed_seeking,0.9,False,acceptable_quality,[],False,
CUMBERLAND,Female,788,engine wife,1,1861,engine worker wife,99999,99999,WIVES AND OTHERS ENGAGED IN (OWN) HOUSEHOLD DUTIES,Unspecified worktitle or several titles,moderate,engine wife,family_dependent,0.6417389073461248,False,acceptable_quality,[],False,
CUMBERLAND,Male,37,maker and parish clerk,1,1861,maker and parish clerk,55100,31090,"CHURCH, CHAPEL, CEMETERY--OFFICER, ETC.",Government Executive Officials Not Elsewhere Classified,,maker and parish clerk,professional_clerical,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,
CUMBERLAND,Male,81,boiler maker,1,1861,billard maker,59990,18020,BILLIARDS CRICKET AND OTHER GAMES SERVICE,Professional Sportsman,,boiler maker,metalwork_engineering,0.8581048831966509,False,acceptable_quality,[],False,
CUMBERLAND,Male,173,farmer of acres cordwainer,1,1861,farmer of  acres cordwainer,61110,61110,"FARMER, GRAZIER",General Farmer,,farmer of acres cordwainer,agricultural,0.8900100584126297,False,acceptable_quality,[],False,
