Year,County,Sex,Occupation_String,Occode,HISCO_x,Count,HISCO_y,Occode_Desc,HISCO_Desc,complexity,standardized,category,confidence,needs_llm_check,confidence_reason,invalid_words,is_multiple_occupation,all_predicted_hisco,prediction_count,prediction_details
1861,NORTHUMBERLAND,Male,brewer and publican,709,77820,1,77810,BREWERS,"Brewer, General",,brewer and publican,food_drink,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,"[[77830, np.float32(0.278626), 'Malt Cooker']]; [[51020, np.float32(0.9274542), 'Working Proprietor (Hotel and Restaurant)']]",2,"[{'hisco': ""[[77830, np.float32(0.278626), 'Malt Cooker']]"", 'split_index': 0, 'occupation': 'brewer'}, {'hisco': ""[[51020, np.float32(0.9274542), 'Working Proprietor (Hotel and Restaurant)']]"", 'split_index': 1, 'occupation': 'publican'}]"
1861,NORTHUMBERLAND,Male,joiner and grocer,409,95410,4,95410,"CARPENTER, JOINER","Carpenter, General",,joiner and grocer,building_construction,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,"[[95410, np.float32(0.22512615), 'Carpenter, General']]; [[84190, np.float32(0.31483597), 'Other Machinery Fitters and Machine Assemblers'], [94990, np.float32(0.24988294), 'Other Production and Related Workers Not Elsewhere Classified']]",2,"[{'hisco': ""[[95410, np.float32(0.22512615), 'Carpenter, General']]"", 'split_index': 0, 'occupation': 'joiner'}, {'hisco': ""[[84190, np.float32(0.31483597), 'Other Machinery Fitters and Machine Assemblers'], [94990, np.float32(0.24988294), 'Other Production and Related Workers Not Elsewhere Classified']]"", 'split_index': 1, 'occupation': 'grocer'}]"
1861,YORKSHIRE NORTH RIDING,Male,butcher and labourer,681,77340,1,77320,SLAUGHTERER,Slaughterer,,butcher and labourer,food_drink,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,"[[77310, np.float32(0.8217389), 'Butcher, General']]; [[99910, np.float32(0.48692077), 'Labourer']]",2,"[{'hisco': ""[[77310, np.float32(0.8217389), 'Butcher, General']]"", 'split_index': 0, 'occupation': 'butcher'}, {'hisco': ""[[99910, np.float32(0.48692077), 'Labourer']]"", 'split_index': 1, 'occupation': 'labourer'}]"
1861,YORKSHIRE NORTH RIDING,Male,liner and cabinet maker,437,81120,1,81120,CABINET MAKERS,Cabinetmaker,,liner and cabinet maker,crafts_trades,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,"[[94990, np.float32(0.5226929), 'Other Production and Related Workers Not Elsewhere Classified']]; [[81120, np.float32(0.9838209), 'Cabinetmaker']]",2,"[{'hisco': ""[[94990, np.float32(0.5226929), 'Other Production and Related Workers Not Elsewhere Classified']]"", 'split_index': 0, 'occupation': 'liner'}, {'hisco': ""[[81120, np.float32(0.9838209), 'Cabinetmaker']]"", 'split_index': 1, 'occupation': 'cabinet maker'}]"
1861,BEDFORDSHIRE,Female,houses and land,772,99999,1,99999,RETIRED (NOT ARMY OR NAVY),Unspecified worktitle or several titles,,houses and land,other,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,"[[54020, np.float32(0.25758544), 'House Servant']]; [[44330, np.float32(0.9107425), 'Appraiser']]",2,"[{'hisco': ""[[54020, np.float32(0.25758544), 'House Servant']]"", 'split_index': 0, 'occupation': 'houses'}, {'hisco': ""[[44330, np.float32(0.9107425), 'Appraiser']]"", 'split_index': 1, 'occupation': 'land'}]"
1861,WARWICKSHIRE,Male,journeyman carpenter and provision dealer,409,95410,1,95410,"CARPENTER, JOINER","Carpenter, General",,journeyman carpenter and provision dealer,building_construction,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,"[]; [[41025, np.float32(0.9661665), 'Working Proprietor (Wholesale or Retail Trade)']]",2,"[{'hisco': '[]', 'split_index': 0, 'occupation': 'journeyman carpenter'}, {'hisco': ""[[41025, np.float32(0.9661665), 'Working Proprietor (Wholesale or Retail Trade)']]"", 'split_index': 1, 'occupation': 'provision dealer'}]"
1861,WARWICKSHIRE,Female,plumber and glayser,425,87130,1,87105,"PLUMBER, PIPE FITTER","Plumber, General",,plumber and glayser,building_construction,0.486,False,multiple_occupation_excluded_from_llm_check,['glayser'],True,"[[61110, np.float32(0.3564864), 'General Farmer'], [94990, np.float32(0.49417344), 'Other Production and Related Workers Not Elsewhere Classified']]; [[54090, np.float32(0.23528899), 'Other Maids and Related Housekeeping Service Workers'], [94990, np.float32(0.531881), 'Other Production and Related Workers Not Elsewhere Classified']]",2,"[{'hisco': ""[[61110, np.float32(0.3564864), 'General Farmer'], [94990, np.float32(0.49417344), 'Other Production and Related Workers Not Elsewhere Classified']]"", 'split_index': 0, 'occupation': 'plumber'}, {'hisco': ""[[54090, np.float32(0.23528899), 'Other Maids and Related Housekeeping Service Workers'], [94990, np.float32(0.531881), 'Other Production and Related Workers Not Elsewhere Classified']]"", 'split_index': 1, 'occupation': 'glayser'}]"
1861,WARWICKSHIRE,Male,professor of music and german,53,13100,1,13100,UNIVERSITY TEACHERS,"University and Higher Education Teacher, Subject Unknown",,professor of music and german,other,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,"[[13100, np.float32(0.9619339), 'University and Higher Education Teacher, Subject Unknown']]; [[54090, np.float32(0.23872423), 'Other Maids and Related Housekeeping Service Workers'], [64990, np.float32(0.25986907), 'Other Fishermen, Hunters and Related Workers'], [94990, np.float32(0.23186144), 'Other Production and Related Workers Not Elsewhere Classified']]",2,"[{'hisco': ""[[13100, np.float32(0.9619339), 'University and Higher Education Teacher, Subject Unknown']]"", 'split_index': 0, 'occupation': 'professor of music'}, {'hisco': ""[[54090, np.float32(0.23872423), 'Other Maids and Related Housekeeping Service Workers'], [64990, np.float32(0.25986907), 'Other Fishermen, Hunters and Related Workers'], [94990, np.float32(0.23186144), 'Other Production and Related Workers Not Elsewhere Classified']]"", 'split_index': 1, 'occupation': 'german'}]"
1861,YORKSHIRE WEST RIDING,Female,plumber and painter employing  man wife,789,99999,1,99999,WIVES ASSISTING GENERALLY IN THEIR HUSBANDS OCCUPATIONS (WIFE OF à),Unspecified worktitle or several titles,,plumber and painter employing man wife,family_dependent,0.8038389265332184,False,multiple_occupation_excluded_from_llm_check,[],True,"[[61110, np.float32(0.4164744), 'General Farmer']]; [[14120, np.float32(0.74035615), 'Minister of Religion']]",2,"[{'hisco': ""[[61110, np.float32(0.4164744), 'General Farmer']]"", 'split_index': 0, 'occupation': 'plumber'}, {'hisco': ""[[14120, np.float32(0.74035615), 'Minister of Religion']]"", 'split_index': 1, 'occupation': 'painter man wife'}]"
1861,YORKSHIRE WEST RIDING,Male,doctor and medicine,49,6500,1,7990,SUBORDINATE MEDICAL SERVICE (UNQUALIFIED) AND MEDICAL SERVICES - GENERAL,"Other Medical, Dental, Veterinary and Related Workers",,doctor and medicine,other,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,"[[61220, np.float32(0.30457243), 'Field Crop Farmer']]; []",2,"[{'hisco': ""[[61220, np.float32(0.30457243), 'Field Crop Farmer']]"", 'split_index': 0, 'occupation': 'doctor'}, {'hisco': '[]', 'split_index': 1, 'occupation': 'medicine'}]"
1861,YORKSHIRE WEST RIDING,Female,cripple and from birth,117,44330,1,44130,SURVEYORS (HOUSE AGENTS),Estate Agent,,cripple and from birth,other,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,"[[54090, np.float32(0.6718691), 'Other Maids and Related Housekeeping Service Workers']]; [[61220, np.float32(0.22577585), 'Field Crop Farmer'], [94990, np.float32(0.5159789), 'Other Production and Related Workers Not Elsewhere Classified']]",2,"[{'hisco': ""[[54090, np.float32(0.6718691), 'Other Maids and Related Housekeeping Service Workers']]"", 'split_index': 0, 'occupation': 'cripple'}, {'hisco': ""[[61220, np.float32(0.22577585), 'Field Crop Farmer'], [94990, np.float32(0.5159789), 'Other Production and Related Workers Not Elsewhere Classified']]"", 'split_index': 1, 'occupation': 'from birth'}]"
1861,SUSSEX,Male,labourer and chelsea pensioner,765,99130,1,99910,GENERAL LABOURERS,Labourer,complex,pensioner labourer and chelsea,unemployed_seeking,0.7822415421150831,False,multiple_occupation_excluded_from_llm_check,['chelsea'],True,"[[77200, np.float32(0.24665459), 'Sugar Processor or Refiner, Specialisation Unknown']]; [[58340, np.float32(0.2920903), 'Other Military Ranks']]",2,"[{'hisco': ""[[77200, np.float32(0.24665459), 'Sugar Processor or Refiner, Specialisation Unknown']]"", 'split_index': 0, 'occupation': 'labourer'}, {'hisco': ""[[58340, np.float32(0.2920903), 'Other Military Ranks']]"", 'split_index': 1, 'occupation': 'chelsea pensioner'}]"
1861,SUSSEX,Female,housewoman and blacksmiths wife,788,99999,1,99999,WIVES AND OTHERS ENGAGED IN (OWN) HOUSEHOLD DUTIES,Unspecified worktitle or several titles,,housewoman and blacksmith wife,family_dependent,0.7405678012633421,False,multiple_occupation_excluded_from_llm_check,[],True,"[[54090, np.float32(0.4269228), 'Other Maids and Related Housekeeping Service Workers'], [94990, np.float32(0.3736725), 'Other Production and Related Workers Not Elsewhere Classified']]; [[14120, np.float32(0.40294376), 'Minister of Religion']]",2,"[{'hisco': ""[[54090, np.float32(0.4269228), 'Other Maids and Related Housekeeping Service Workers'], [94990, np.float32(0.3736725), 'Other Production and Related Workers Not Elsewhere Classified']]"", 'split_index': 0, 'occupation': 'housewoman'}, {'hisco': ""[[14120, np.float32(0.40294376), 'Minister of Religion']]"", 'split_index': 1, 'occupation': 'blacksmiths wife'}]"
1861,SUSSEX,Male,carrier and broom maker,430,97490,2,97400,POND RESERVOIR MAKERS,"Excavator, Specialisation Unknown",,carrier and broom maker,transport_communication,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,"[[37030, np.float32(0.8368117), 'Postman']]; [[80390, np.float32(0.74865043), 'Other Leather Goods Makers']]",2,"[{'hisco': ""[[37030, np.float32(0.8368117), 'Postman']]"", 'split_index': 0, 'occupation': 'carrier'}, {'hisco': ""[[80390, np.float32(0.74865043), 'Other Leather Goods Makers']]"", 'split_index': 1, 'occupation': 'broom maker'}]"
1861,SUSSEX,Male,timber merchant and wheelwright employing  men,462,41015,1,41020,TIMBER MERCHANTS WOOD DEALERS,Working Proprietor (Wholesale Trade),,timber merchant and wheelwright employing men,retail_trade,0.804794637294528,False,multiple_occupation_excluded_from_llm_check,[],True,"[[81990, np.float32(0.229117), 'Other Cabinetmakers and Related Woodworkers'], [94990, np.float32(0.24954848), 'Other Production and Related Workers Not Elsewhere Classified']]; [[54090, np.float32(0.39652565), 'Other Maids and Related Housekeeping Service Workers'], [94990, np.float32(0.24092159), 'Other Production and Related Workers Not Elsewhere Classified']]",2,"[{'hisco': ""[[81990, np.float32(0.229117), 'Other Cabinetmakers and Related Woodworkers'], [94990, np.float32(0.24954848), 'Other Production and Related Workers Not Elsewhere Classified']]"", 'split_index': 0, 'occupation': 'timber merchant'}, {'hisco': ""[[54090, np.float32(0.39652565), 'Other Maids and Related Housekeeping Service Workers'], [94990, np.float32(0.24092159), 'Other Production and Related Workers Not Elsewhere Classified']]"", 'split_index': 1, 'occupation': 'wheelwright men'}]"
1861,GLOUCESTERSHIRE,Male,road contractor employing  men and  boys,434,21290,1,3010,"ROAD--CONTRACTOR, SURVEYOR, INSPECTOR","Surveyor, General",,road contractor employing men and boys,other,0.797718323862013,False,multiple_occupation_excluded_from_llm_check,[],True,"[[61110, np.float32(0.26034153), 'General Farmer']]; [[54090, np.float32(0.7443222), 'Other Maids and Related Housekeeping Service Workers']]",2,"[{'hisco': ""[[61110, np.float32(0.26034153), 'General Farmer']]"", 'split_index': 0, 'occupation': 'road contractor men'}, {'hisco': ""[[54090, np.float32(0.7443222), 'Other Maids and Related Housekeeping Service Workers']]"", 'split_index': 1, 'occupation': 'boys'}]"
1861,GLOUCESTERSHIRE,Male,labourer and shop keeper,362,84300,1,84975,"BICYCLE MAKERS, BICYCLE REPAIRERS",Pedal-Cycle Repairer,,labourer and shop keeper,general_labour,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,"[]; [[64990, np.float32(0.75148135), 'Other Fishermen, Hunters and Related Workers']]",2,"[{'hisco': '[]', 'split_index': 0, 'occupation': 'labourer'}, {'hisco': ""[[64990, np.float32(0.75148135), 'Other Fishermen, Hunters and Related Workers']]"", 'split_index': 1, 'occupation': 'shop keeper'}]"
1861,CHESHIRE,Female,silk and scholar,787,99999,1,99999,SCHOLARS ETC,Unspecified worktitle or several titles,,silk and scholar,other,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,"[[75000, np.float32(0.88844126), 'Spinners, Weavers, Knitters, Dyers and Related Workers, Specialisation Unknown']]; [[94990, np.float32(0.9011031), 'Other Production and Related Workers Not Elsewhere Classified']]",2,"[{'hisco': ""[[75000, np.float32(0.88844126), 'Spinners, Weavers, Knitters, Dyers and Related Workers, Specialisation Unknown']]"", 'split_index': 0, 'occupation': 'silk'}, {'hisco': ""[[94990, np.float32(0.9011031), 'Other Production and Related Workers Not Elsewhere Classified']]"", 'split_index': 1, 'occupation': 'scholar'}]"
1861,CHESHIRE,Male,coachman and domestic servant,85,98520,1,98620,DOMESTIC--COACHMAN,Animal-Drawn Vehicle Driver (Road),,coachman and domestic servant,domestic_service,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,"[[7110, np.float32(0.2386881), 'Professional Nurse, General']]; [[54020, np.float32(0.98940444), 'House Servant']]",2,"[{'hisco': ""[[7110, np.float32(0.2386881), 'Professional Nurse, General']]"", 'split_index': 0, 'occupation': 'coachman'}, {'hisco': ""[[54020, np.float32(0.98940444), 'House Servant']]"", 'split_index': 1, 'occupation': 'domestic servant'}]"
1861,CHESHIRE,Male,fitter and pattern maker,442,83890,1,95420,HOUSE & SHOP FITTINGS MAKERS,Construction Joiner,complex,fitter and pattern maker,other,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,"[[84190, np.float32(0.77908343), 'Other Machinery Fitters and Machine Assemblers']]; [[79990, np.float32(0.6250841), 'Other Tailors, Dressmakers, Sewers, Upholsterers and Related Workers'], [98540, np.float32(0.23278141), 'Motor Bus Driver']]",2,"[{'hisco': ""[[84190, np.float32(0.77908343), 'Other Machinery Fitters and Machine Assemblers']]"", 'split_index': 0, 'occupation': 'fitter'}, {'hisco': ""[[79990, np.float32(0.6250841), 'Other Tailors, Dressmakers, Sewers, Upholsterers and Related Workers'], [98540, np.float32(0.23278141), 'Motor Bus Driver']]"", 'split_index': 1, 'occupation': 'pattern maker'}]"
1861,BUCKINGHAMSHIRE,Male,inn keeper and butcher,713,51020,1,51050,"INNKEEPERS, HOTEL KEEPERS AND PUBLICANS","Working Proprietor  (Cafe, Bar and Snack Bar)",,inn keeper and butcher,food_drink,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,"[[51020, np.float32(0.9912834), 'Working Proprietor (Hotel and Restaurant)']]; [[77310, np.float32(0.86110336), 'Butcher, General']]",2,"[{'hisco': ""[[51020, np.float32(0.9912834), 'Working Proprietor (Hotel and Restaurant)']]"", 'split_index': 0, 'occupation': 'inn keeper'}, {'hisco': ""[[77310, np.float32(0.86110336), 'Butcher, General']]"", 'split_index': 1, 'occupation': 'butcher'}]"
1861,LONDON,Male,ironmonger and smith employing  man and  boys,173,61110,1,61110,"FARMER, GRAZIER",General Farmer,,ironmonger and smith employing man and boys,metalwork_engineering,0.7991381503390073,False,multiple_occupation_excluded_from_llm_check,[],True,"[[94990, np.float32(0.49146158), 'Other Production and Related Workers Not Elsewhere Classified']]; [[98540, np.float32(0.2509258), 'Motor Bus Driver']]; [[54090, np.float32(0.9375905), 'Other Maids and Related Housekeeping Service Workers']]",3,"[{'hisco': ""[[94990, np.float32(0.49146158), 'Other Production and Related Workers Not Elsewhere Classified']]"", 'split_index': 0, 'occupation': 'ironmonger'}, {'hisco': ""[[98540, np.float32(0.2509258), 'Motor Bus Driver']]"", 'split_index': 1, 'occupation': 'smith man'}, {'hisco': ""[[54090, np.float32(0.9375905), 'Other Maids and Related Housekeeping Service Workers']]"", 'split_index': 2, 'occupation': 'boys'}]"
1861,LONDON,Female,who employ  men and boys,173,61110,1,61110,"FARMER, GRAZIER",General Farmer,,who employ men and boys,other,0.7998426888431979,False,multiple_occupation_excluded_from_llm_check,[],True,"[[94990, np.float32(0.81868464), 'Other Production and Related Workers Not Elsewhere Classified']]; [[54090, np.float32(0.9260133), 'Other Maids and Related Housekeeping Service Workers']]",2,"[{'hisco': ""[[94990, np.float32(0.81868464), 'Other Production and Related Workers Not Elsewhere Classified']]"", 'split_index': 0, 'occupation': 'who employ men'}, {'hisco': ""[[54090, np.float32(0.9260133), 'Other Maids and Related Housekeeping Service Workers']]"", 'split_index': 1, 'occupation': 'boys'}]"
1861,LONDON,Male,carries and gilder,446,93400,1,81955,WOOD GILDER,Wooden Furniture Finisher,,carries and gilder,other,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,"[[37030, np.float32(0.9044366), 'Postman']]; []",2,"[{'hisco': ""[[37030, np.float32(0.9044366), 'Postman']]"", 'split_index': 0, 'occupation': 'carries'}, {'hisco': '[]', 'split_index': 1, 'occupation': 'gilder'}]"
1861,LONDON,Male,paperlayer and painter,421,93120,1,93120,"PAINTERS, DISTEMPERERS & DECORATORS",Building Painter,,paperlayer and painter,building_construction,0.486,False,multiple_occupation_excluded_from_llm_check,['paperlayer'],True,"[[54090, np.float32(0.71451247), 'Other Maids and Related Housekeeping Service Workers'], [94990, np.float32(0.5511617), 'Other Production and Related Workers Not Elsewhere Classified']]; [[93120, np.float32(0.97917694), 'Building Painter']]",2,"[{'hisco': ""[[54090, np.float32(0.71451247), 'Other Maids and Related Housekeeping Service Workers'], [94990, np.float32(0.5511617), 'Other Production and Related Workers Not Elsewhere Classified']]"", 'split_index': 0, 'occupation': 'paperlayer'}, {'hisco': ""[[93120, np.float32(0.97917694), 'Building Painter']]"", 'split_index': 1, 'occupation': 'painter'}]"
1861,LONDON,Male,potatoo fruit and pea salesman employing  men,113,43090,1,45125,SALESMEN AND BUYERS (NOT OTHERWISE DESCRIBED),"Salesperson, Wholesale or Retail Trade",,potatoo fruiterer and pea salesman employing men,food_drink,0.7576315963563643,False,multiple_occupation_excluded_from_llm_check,['potatoo'],True,"[[54090, np.float32(0.49859264), 'Other Maids and Related Housekeeping Service Workers'], [94990, np.float32(0.7453345), 'Other Production and Related Workers Not Elsewhere Classified']]; []",2,"[{'hisco': ""[[54090, np.float32(0.49859264), 'Other Maids and Related Housekeeping Service Workers'], [94990, np.float32(0.7453345), 'Other Production and Related Workers Not Elsewhere Classified']]"", 'split_index': 0, 'occupation': 'potatoo fruit'}, {'hisco': '[]', 'split_index': 1, 'occupation': 'pea salesman men'}]"
1861,LONDON,Male,house estate and medical agent,116,44330,1,44330,AUCTIONEERS APPRAISERS VALUERS HOUSE AGENTS,Appraiser,,house estate and medical agent,professional_clerical,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,"[[53100, np.float32(0.8357252), 'Cook, Specialisation Unknown']]; [[44120, np.float32(0.948186), 'Insurance Salesman']]",2,"[{'hisco': ""[[53100, np.float32(0.8357252), 'Cook, Specialisation Unknown']]"", 'split_index': 0, 'occupation': 'house estate'}, {'hisco': ""[[44120, np.float32(0.948186), 'Insurance Salesman']]"", 'split_index': 1, 'occupation': 'medical agent'}]"
1861,LONDON,Male,clerk and volunteer,119,39310,1,30000,COMMERCIAL OR BUSINESS CLERKS,"Clerical or Related Worker, Specialisation Unknown",,clerk and volunteer,professional_clerical,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,"[[39310, np.float32(0.9695249), 'Office Clerk, General']]; [[54090, np.float32(0.78277016), 'Other Maids and Related Housekeeping Service Workers']]",2,"[{'hisco': ""[[39310, np.float32(0.9695249), 'Office Clerk, General']]"", 'split_index': 0, 'occupation': 'clerk'}, {'hisco': ""[[54090, np.float32(0.78277016), 'Other Maids and Related Housekeeping Service Workers']]"", 'split_index': 1, 'occupation': 'volunteer'}]"
1861,STAFFORDSHIRE,Male,auist and profesor of music,76,17120,1,17120,"MUSICIAN, MUSIC MASTER, SINGER (NOT TEACHERS)",Composer,,auist and profesor of music,other,0.486,False,multiple_occupation_excluded_from_llm_check,"['auist', 'profesor']",True,"[[7110, np.float32(0.25718096), 'Professional Nurse, General'], [54090, np.float32(0.455391), 'Other Maids and Related Housekeeping Service Workers'], [94990, np.float32(0.24176018), 'Other Production and Related Workers Not Elsewhere Classified']]; [[13100, np.float32(0.6731487), 'University and Higher Education Teacher, Subject Unknown']]",2,"[{'hisco': ""[[7110, np.float32(0.25718096), 'Professional Nurse, General'], [54090, np.float32(0.455391), 'Other Maids and Related Housekeeping Service Workers'], [94990, np.float32(0.24176018), 'Other Production and Related Workers Not Elsewhere Classified']]"", 'split_index': 0, 'occupation': 'auist'}, {'hisco': ""[[13100, np.float32(0.6731487), 'University and Higher Education Teacher, Subject Unknown']]"", 'split_index': 1, 'occupation': 'profesor of music'}]"
